Pos,Artist and Title, ,"15,443.7","15,724.1","15,726.8","15,730.6","15,733.2"
---,Post Malone - I Like You (A Happier Song) [feat. Doja Cat], ,0.0000,0.0000,0.0000,0.0000,0.0297
---,The Beatles - Here Comes the Sun (2019 Mix), ,0.0000,0.0000,0.0000,0.0000,0.0284
---,Darius - Rushes, ,0.0000,0.0607,0.0471,0.0439,0.0605
---,Darius - Colourblind, ,0.0000,1.0000,1.0000,1.0000,1.0000
---,Céline Dion - It's All Coming Back to Me Now (Radio Edit 1), ,0.0000,0.0000,0.0000,0.0188,0.0297
---,HStikkytokky & J Fado - Hold This, ,0.0000,0.0000,0.0000,0.0000,0.0000
---,Darius - Live Twice, ,0.0000,0.0000,0.0000,0.0000,0.0000
---,DMA'S - I Don't Need To Hide, ,0.0000,0.0000,0.0117,0.0226,0.0000
---,Demi Lovato - 29, ,0.0000,0.0000,0.0000,0.0164,0.0000
---,Ed Sheeran - Perfect, ,0.0000,0.0000,0.0000,0.0000,0.0000
---,Tate McRae - she's all i wanna be, ,0.0000,0.0000,0.0000,0.0000,0.0000
---,Cat Burns - ghosting, ,0.0000,0.0250,0.0201,0.0226,0.0000
---,The Goo Goo Dolls - Iris, ,0.0000,0.0000,0.0117,0.0226,0.0000
---,The Weeknd - Blinding Lights, ,0.0000,0.0000,0.0201,0.0239,0.0259
---,Adele - Easy On Me, ,0.0000,0.0000,0.0000,0.0201,0.0000
---,Rosa Linn - SNAP, ,0.0000,0.0000,0.0000,0.0000,0.0321
---,Keung To - 風雨不改 (電影《阿媽有咗第二個》主題曲), ,0.0000,0.0178,0.0219,0.0327,0.0000
---,Tom Santa - Rainfall (Praise You), ,0.0000,0.0000,0.0201,0.0239,0.0000
