Artist,Listeners,Daily Trend,Peak,PkListeners
Tedua,"5,219,290","16,842",2101,"5,219,290"
José González,"5,218,565","-11,225",1858,"5,480,490"
Shoreline Mafia,"5,216,392","83,553",2151,"5,216,392"
Lary Over,"5,215,379","-2,751",1925,"5,639,719"
Los Socios Del Ritmo,"5,214,801",-867,2153,"5,215,668"
Ashnikko,"5,213,213","2,450",1259,"6,626,552"
AYLIVA,"5,212,348","-19,496",2005,"5,567,346"
SG Lewis,"5,207,745","27,760",1798,"5,207,745"
Inspector,"5,207,601","-11,834",2049,"5,384,623"
Vierra,"5,204,020","2,714",1977,"5,309,160"
Bappi Lahiri,"5,203,877","-4,729",1923,"5,634,468"
Ivan Cornejo,"5,200,878","-9,597",1162,"7,839,825"
Turma do Pagode,"5,200,023","11,618",1524,"6,774,148"
Jasmine Sandlas,"5,199,881","6,391",1716,"5,773,352"
Young Cister,"5,198,457","-14,756",2049,"5,458,672"
Aastha Gill,"5,196,467","-12,858",1555,"6,157,404"
Sohail Sen,"5,195,048","-6,115",1823,"5,566,935"
Victor Mendivil,"5,188,264","-40,208",1915,"5,709,189"
Sickick,"5,186,716","-24,335",1462,"5,825,279"
Bruno Martini,"5,186,153","-2,534",1643,"6,004,945"
Dopamine,"5,184,608",-561,1410,"6,442,156"
Marca MP,"5,181,944","-22,076",936,"8,788,069"
Heroes Del Silencio,"5,180,544","-41,361",2133,"5,255,121"
Anvita Dutt Guptan,"5,179,426","-1,818",2103,"5,181,244"
Haley Reinhart,"5,175,800",-557,1600,"5,869,986"
Whitesnake,"5,175,661","-17,404",1605,"5,797,174"
Sérgio Mendes,"5,174,687","2,500",2037,"5,418,446"
Migrantes,"5,171,771","-10,593",428,"14,283,705"
Marracash,"5,171,078","-2,080",1841,"5,579,054"
Nemzzz,"5,169,277","1,659",1845,"5,851,104"
Mobb Deep,"5,167,480","1,656",1719,"5,436,857"
UZI,"5,166,790","4,820",1762,"5,835,443"
310babii,"5,164,446","-19,320",1653,"6,438,489"
Chani Nattan,"5,164,308","11,911",1464,"6,373,045"
Dj Samir,"5,161,283","42,513",2183,"5,161,283"
Jamie Foxx,"5,158,815","-2,606",1751,"5,602,271"
Conor Maynard,"5,157,993","-10,731",1391,"6,804,973"
Jazzy,"5,157,720","2,733",1582,"6,096,401"
Lou Bega,"5,156,352","10,688",1983,"5,249,916"
Yura Yunita,"5,155,942","-20,276",1377,"6,198,752"
Mike WiLL Made-It,"5,150,492","-37,491",1118,"8,130,359"
VISXGE,"5,150,492","7,717",2189,"5,150,492"
Maninder Buttar,"5,148,727","-10,636",1675,"5,898,813"
Ghostface Killah,"5,147,100","231,134",2192,"5,147,100"
Mc Rodrigo do CN,"5,145,476","37,723",2193,"5,145,476"
Remi Wolf,"5,140,349","7,109",2193,"5,140,349"
Edwin Luna y La Trakalosa de Monterrey,"5,139,273","-4,987",1751,"6,013,537"
AnnenMayKantereit,"5,136,319","3,346",1380,"6,211,064"
Warren G,"5,136,319","3,212",1897,"5,136,319"
Emmit Fenn,"5,134,043",936,2159,"5,150,356"
The Calling,"5,133,107","-7,377",1324,"7,767,851"
Au/Ra,"5,132,171",0,1194,"6,859,938"
Tungevaag,"5,129,371",533,1246,"6,968,091"
Astrid S,"5,128,173","-26,541",1034,"8,152,622"
Adie,"5,122,997","-13,859",1985,"5,190,521"
Eliza Rose,"5,118,638","-2,375",1078,"7,458,821"
KT Tunstall,"5,117,979","16,730",1888,"5,737,843"
The Monkees,"5,116,794","6,036",1564,"6,152,680"
Tippu,"5,115,742","1,708",2037,"5,154,987"
La Santa Grifa,"5,111,674","-1,573",1928,"5,264,486"
Gloria Groove,"5,111,674","24,975",1294,"7,167,066"
King Gnu,"5,111,150","-27,182",1504,"6,715,161"
deadmau5,"5,110,104","-7,743",1302,"6,583,562"
Antonio Aguilar,"5,107,622","-4,052",2196,"5,121,939"
Up Dharma Down,"5,107,100","7,276",2173,"5,184,467"
K. J. Yesudas,"5,105,797","6,102",1962,"5,409,127"
Armand Van Helden,"5,103,846","-3,907",1963,"5,181,804"
The Chicks,"5,102,547","12,518",1753,"5,594,264"
Sam C.S.,"5,101,768","-4,290",1398,"6,852,244"
Triz,"5,100,213","-17,239",1070,"9,001,344"
Quality Control,"5,099,306","-13,285",1305,"6,462,956"
Vince Staples,"5,097,884","31,072",1174,"7,106,334"
Heuss L'enfoiré,"5,091,313","19,722",1319,"7,118,046"
Justin Hurwitz,"5,090,029","-21,514",1833,"5,867,268"
Westlife,"5,088,619","4,985",1466,"5,880,391"
Alejo,"5,086,443","-2,048",1183,"6,997,702"
Thiaguinho,"5,085,038","9,279",1284,"7,715,116"
Chris MC,"5,084,783",0,1733,"5,512,436"
"Héctor ""El Father""","5,081,596","7,734",1770,"5,489,940"
"Ryu, The Runner","5,074,874","-30,142",1599,"6,579,814"
Abraham Mateo,"5,074,874","-8,888",1335,"6,846,225"
ChiChi Peralta,"5,074,494","12,938",1956,"5,498,645"
Fernando & Sorocaba,"5,073,105","27,532",1458,"7,056,951"
Ammy Virk,"5,072,726","-8,489",1632,"5,896,835"
Rupert Holmes,"5,072,348","-18,451",1950,"5,116,268"
Grupo Mojado,"5,071,591","5,907",1874,"5,771,560"
WEY,"5,070,961","5,779",1433,"6,945,090"
Safri Duo,"5,069,702","2,262",1829,"5,569,673"
Sam Tinnesz,"5,063,555",0,1969,"5,260,307"
Josh Meloy,"5,063,180","-1,126",2229,"5,065,182"
Koe Wetzel,"5,058,066","36,199",2239,"5,058,066"
Traia Véia,"5,057,941","70,484",1621,"6,414,148"
Dyan Dxddy,"5,057,693","31,611",2241,"5,057,693"
Pooh Shiesty,"5,056,201","2,481",1878,"5,476,128"
Ari Abdul,"5,051,986",-743,1635,"5,999,074"
Pusha T,"5,050,132","-8,556",1197,"6,817,833"
Kizz Daniel,"5,045,327","-8,889",2125,"5,060,433"
Monica,"5,043,853","25,347",1936,"5,602,385"
Barry White,"5,043,485","1,227",2101,"5,173,853"
gnash,"5,041,768","-19,413",1488,"6,578,453"
Herbert Grönemeyer,"5,039,688","5,974",2247,"5,039,688"
Allman Brothers Band,"5,034,200","7,635",1941,"5,149,134"
Bad Wolves,"5,032,499","-2,674",2209,"5,109,058"
Simge,"5,032,256","13,990",1848,"5,336,887"
Kanii,"5,028,257","3,984",961,"8,387,470"
Kenny Beats,"5,028,136","-6,307",1861,"5,064,681"
High School Musical Cast,"5,024,755","6,848",1942,"5,091,827"
Gonzy,"5,022,708","-16,857",2057,"5,359,145"
Sam Fender,"5,021,626","-25,424",1038,"9,077,301"
DJ BOY,"5,020,425",-600,1708,"6,128,837"
Rick Springfield,"5,017,907","78,648",2230,"5,017,907"
TWENTY SIX,"5,015,634","-55,957",1242,"7,996,419"
Mani Sharma,"5,015,395","5,243",2157,"5,119,297"
Alice Deejay,"5,014,798","17,759",1935,"5,607,977"
Auli'i Cravalho,"5,014,679","-5,386",1784,"5,759,140"
Paloma Mami,"5,013,605","-15,862",800,"9,021,292"
Mr.Kitty,"5,013,009","-8,617",1065,"7,435,156"
Dharius,"5,012,055","-8,010",1881,"5,566,234"
Sam Barber,"5,009,439","14,862",2155,"5,009,439"
Tropa da W&S,"5,009,320","5,568",1290,"7,807,936"
The Score,"5,008,964","-5,237",1576,"5,570,597"
Luigi 21 Plus,"5,005,526","-26,366",2080,"5,319,096"
Chalino Sanchez,"5,003,516","-14,152",2218,"5,095,818"
Alice Cooper,"5,003,398","-5,091",1415,"6,556,165"
Pras,"5,000,331","-6,735",1974,"5,097,754"
Baby Bash,"4,999,507","-4,600",2055,"5,067,817"
Lil Tracy,"4,998,919","2,232",1858,"5,131,771"
Randy Travis,"4,993,055","-19,477",2105,"5,040,789"
Nacho,"4,992,822","5,947",1460,"5,848,841"
ThxSoMch,"4,989,669","-8,662",783,"9,386,209"
Tai Verdes,"4,988,854",-699,1207,"7,228,251"
Liam Payne,"4,988,854","-8,303",995,"9,441,147"
DVRST,"4,983,857","-14,592",792,"9,129,451"
Old Jim,"4,983,741","-3,832",1803,"5,779,019"
Shalmali Kholgade,"4,983,277","22,126",1618,"6,522,158"
GoldLink,"4,979,230",808,1558,"6,807,151"
Russ Millions,"4,977,730","43,459",1246,"7,466,926"
A Day To Remember,"4,977,039","33,215",1803,"5,251,262"
Elle King,"4,976,694","-7,511",1096,"7,911,059"
Madism,"4,976,003","-11,221",1269,"6,536,394"
Parker McCollum,"4,975,888","2,413",1783,"5,503,289"
Ikka,"4,974,623","27,558",1667,"5,601,561"
Laura Branigan,"4,973,016","8,570",1931,"5,616,830"
Jay Trak,"4,960,924","2,153",1964,"5,407,451"
Alexis y Fido,"4,960,470","13,069",2048,"5,053,720"
Sugar Ray,"4,958,318","14,717",2292,"4,958,318"
Revol,"4,957,527","-5,213",2287,"4,962,740"
LeAnn Rimes,"4,954,930","16,893",2084,"4,954,930"
JT,"4,952,564","-16,672",1300,"7,283,189"
Daveed Diggs,"4,950,990","-9,934",1560,"6,498,315"
Seal,"4,949,418","32,365",1697,"6,219,877"
Isaiah Rashad,"4,947,849","-11,714",1990,"5,469,325"
Luther Vandross,"4,939,592","49,598",1737,"5,992,729"
Dardan,"4,939,592","-12,185",1823,"5,315,807"
Joy Again,"4,937,261","-7,679",2265,"5,000,214"
Pancho Barraza,"4,936,153",776,1978,"5,183,485"
Fatboy Slim,"4,934,492","11,767",1083,"7,929,652"
Michael Schulte,"4,931,510","1,102",1370,"6,973,541"
Waylon Jennings,"4,929,857","-1,543",2177,"5,011,579"
Lucky Daye,"4,928,977","13,880",1032,"7,754,167"
Rose Villain,"4,923,600","7,743",2162,"5,124,587"
Djavan,"4,921,741","12,706",2253,"5,005,171"
Diego Torres,"4,921,522",764,1900,"5,662,724"
Tayson Kryss,"4,909,250","-56,676",1275,"7,868,553"
Diego Verdaguer,"4,908,064","7,201",1906,"5,029,104"
Braaheim,"4,907,417","-10,507",2113,"5,224,965"
Swarnalatha,"4,907,309","-3,454",2018,"5,246,932"
Abel Pintos,"4,905,801",430,1666,"6,141,431"
Mandy Moore,"4,901,934","-8,289",1803,"5,413,499"
BENEE,"4,899,899","-4,827",1188,"6,861,046"
Fools Garden,"4,893,498","-7,900",2209,"5,110,758"
AMUSIK,"4,892,435","7,833",2315,"4,892,435"
Pinkfong,"4,880,918","-24,238",2096,"5,295,265"
Mc Lele JP,"4,876,722",732,2239,"5,011,698"
Björn Skifs,"4,874,631","55,935",1809,"5,970,638"
SiR,"4,869,525","-15,710",2091,"5,283,701"
Armani White,"4,869,317","-11,495",790,"9,169,180"
Kris Kross Amsterdam,"4,867,033","18,197",1652,"5,976,796"
SCH,"4,864,961","38,511",2029,"4,973,934"
KeBlack,"4,863,410","12,942",2328,"4,863,410"
Isadora Pompeo,"4,861,757","-1,239",1558,"6,605,248"
Bea Miller,"4,861,138","11,385",1078,"7,414,206"
Ranjith Govind,"4,860,005","-1,752",2101,"4,941,038"
Nidji,"4,858,975","5,235",1702,"5,955,753"
Gabriela Rocha,"4,858,769","2,466",2093,"5,252,644"
ANNA,"4,858,563","17,849",1949,"5,136,722"
Jenni Rivera,"4,851,489","-3,583",2119,"5,098,271"
SUICIDAL-IDOL,"4,851,285","15,415",1157,"7,960,192"
Skid Row,"4,845,884","-4,788",2309,"4,894,669"
Erik Satie,"4,844,868","-18,645",1832,"5,685,950"
ZODIVK,"4,841,827","19,758",2339,"4,841,827"
Maverick Sabre,"4,840,815","15,263",2251,"4,925,682"
Julio Iglesias,"4,837,684",101,2330,"4,851,591"
6YNTHMANE,"4,837,079","-7,891",1850,"5,463,635"
Ella Fitzgerald,"4,834,060","-13,757",191,"27,945,528"
Ghali,"4,830,548","36,032",1488,"6,955,444"
Godsmack,"4,828,847","-1,801",1794,"5,212,059"
Niska,"4,826,849","-3,699",1740,"6,021,632"
Flow G,"4,824,954","7,841",2321,"4,875,467"
Dan Caplen,"4,824,755","58,218",2143,"4,824,755"
The Red Jumpsuit Apparatus,"4,823,361","-4,686",1918,"5,657,825"
Megadeth,"4,822,168","11,463",1649,"5,357,683"
HAIM,"4,820,679","-2,881",920,"9,332,787"
Julian Perretta,"4,819,588",-992,1155,"7,755,492"
Annalisa,"4,818,399","26,396",1636,"6,426,517"
Luude,"4,817,014","21,917",1401,"6,109,311"
Emiway Bantai,"4,815,745",0,2344,0
Cat Burns,"4,813,264","-12,089",1035,"7,835,224"
Mc Menor RV,"4,813,165","-1,874",1295,"7,750,305"
MixSingh,"4,805,998","67,447",2358,"4,805,998"
Surf Mesa,"4,804,923","-1,760",1686,"5,699,227"
Dewa,"4,804,336","13,973",1800,"5,595,466"
Mano,"4,804,141","-9,320",2157,"5,138,870"
Michelle Maciel,"4,803,555","-16,331",1010,"8,715,404"
BLOK3,"4,803,165","5,256",2316,"4,902,149"
Hamza,"4,803,067","5,935",1647,"5,520,810"
LAGOS,"4,802,482","35,191",1655,"5,982,614"
The Turtles,"4,797,909","-3,793",2294,"4,937,926"
Yo-Yo Ma,"4,796,162","4,159",1730,"5,776,309"
R. Kelly,"4,795,194",872,1983,"4,966,952"
Puddle Of Mudd,"4,794,322","9,056",2187,"5,038,710"
Pinegrove,"4,792,679","-16,357",2216,"4,995,163"
Dr. Alban,"4,792,292","-1,063",2329,"4,793,355"
vtze archive,"4,791,424","19,502",2372,"4,791,424"
C-Kan,"4,789,977","-10,654",1992,"5,321,784"
Quarterhead,"4,789,399","-62,090",2066,"5,428,329"
La Sonora Dinamita,"4,786,610","-14,995",1691,"6,185,363"
Los Gemelos De Sinaloa,"4,786,418","3,260",1584,"5,550,154"
Dhibu Ninan Thomas,"4,786,322","2,877",1890,"5,642,051"
Snoh Aalegra,"4,783,254","6,205",1953,"5,563,300"
Peter Bjorn and John,"4,783,062","-10,487",2293,"4,830,949"
Gminxr,"4,781,436","12,068",1126,"8,053,631"
Ufo361,"4,779,336","6,467",2130,"4,820,183"
Chayce Beckham,"4,772,490","-16,524",2018,"5,453,340"
Dedublüman,"4,767,857","-6,720",2161,"4,830,448"
Espinoza Paz,"4,767,008","-2,643",2077,"4,878,713"
Yahir Saldivar,"4,764,466","33,776",2042,"5,433,470"
Budi Doremi,"4,762,118","7,946",1508,"6,032,948"
Reyli Barba,"4,759,213","-3,843",1874,"5,404,172"
Neo Beats,"4,758,839","7,271",956,"8,012,871"
Mc Kako,"4,758,184","2,334",1954,"5,424,888"
Motionless In White,"4,754,358","6,296",2388,"4,754,358"
grandson,"4,751,754","14,830",1577,"5,825,965"
Memphis Cult,"4,750,175","-12,036",1606,"6,505,383"
Iguinho e Lulinha,"4,749,526","62,707",2393,"4,749,526"
No Te Va Gustar,"4,749,063","3,516",2302,"4,819,985"
Brett Young,"4,748,507","-7,716",1424,"6,662,926"
Sub Focus,"4,747,488","98,407",2396,"4,747,488"
Gustavo Cerati,"4,744,163","-1,846",2146,"5,091,570"
Nitty Gritty Dirt Band,"4,742,872","15,364",2398,"4,742,872"
Paradox,"4,742,780","-7,952",1621,"5,995,277"
Free Nationals,"4,741,123","-5,440",1614,"6,552,692"
Sanam,"4,740,204","4,036",1537,"6,025,452"
Bonez MC,"4,738,826",-918,1744,"5,487,431"
Punctual,"4,732,422","3,006",1884,"5,200,308"
José Luis Perales,"4,731,146",183,2256,"4,820,084"
FiNCH,"4,730,053","-11,714",2378,"4,781,341"
MC Menor MT,"4,725,422","-8,734",1018,"7,668,287"
Lucenzo,"4,723,611","-4,260",2227,"4,843,853"
MoonDeity,"4,722,707",-181,1533,"5,790,882"
Kah-Lo,"4,722,165","20,748",2390,"4,759,400"
KISS OF LIFE,"4,716,850","-19,318",2014,"5,490,022"
Peter Gabriel,"4,716,041","-10,015",1504,"5,916,206"
Matisse,"4,713,530","1,075",1253,"7,732,700"
Crush,"4,712,097","-36,317",2299,"4,929,417"
Grupo Bryndis,"4,711,293","-3,940",2170,"5,064,306"
Maverick City Music,"4,710,756","-3,849",2280,"4,879,657"
Phoenix,"4,709,952","7,472",1477,"5,975,682"
MC PR,"4,707,901","7,281",2028,"5,079,562"
Blue Öyster Cult,"4,707,010","1,067",1439,"6,681,264"
Lloyd,"4,705,587","6,647",2017,"5,355,193"
HUH YUNJIN,"4,703,988","-48,323",1526,"6,915,042"
GREGO,"4,703,100","-6,942",1375,"7,266,029"
Dj Chetas,"4,702,391","10,758",1818,"5,535,866"
Pashanim,"4,702,037","57,076",2423,"4,702,037"
Poison,"4,698,763","-1,768",2278,"4,722,165"
Naughty Boy,"4,698,587",795,1937,"5,159,637"
Zeynep Bastık,"4,695,764","-23,245",1721,"6,269,777"
Los Primos MX,"4,695,500","-13,382",2266,"4,745,178"
Tornillo,"4,694,004","-11,494",1675,"5,540,492"
Cream,"4,692,686",351,2025,"5,119,297"
Kaskade,"4,689,704","-16,417",1305,"6,562,786"
Dxrk ダーク,"4,689,617","3,060",1092,"7,340,215"
Metronomy,"4,689,442","-11,797",2406,"4,734,613"
CJ,"4,687,168","-2,449",1576,"5,856,465"
Hal,"4,684,376","-5,591",2156,"4,788,244"
Israel Kamakawiwo'ole,"4,683,157","-1,742",2310,"4,813,559"
Talwiinder,"4,676,910","16,394",2109,"5,219,000"
Shiraz Uppal,"4,676,823","-5,116",1842,"5,292,492"
Spandau Ballet,"4,676,391","8,697",2277,"4,676,391"
Arizona Zervas,"4,670,872","7,030",1247,"6,576,145"
Brad Paisley,"4,668,294","-6,542",1731,"5,643,084"
Salastkbron,"4,668,037","1,800",2142,"5,157,446"
Martin Jensen,"4,667,351","-19,468",1009,"7,722,826"
SativaMusic,"4,661,879","12,546",2134,"5,175,939"
Mc Magrinho,"4,660,090","54,330",1288,"7,681,537"
Erykah Badu,"4,660,005","-16,472",2355,"4,733,426"
Pretenders,"4,659,494","-11,636",704,"11,921,055"
Fabio Asher,"4,659,154","64,730",1464,"6,645,570"
Royal Philharmonic Orchestra,"4,658,644","4,243",1290,"7,608,153"
Ivete Sangalo,"4,658,388","-9,992",749,"11,525,185"
Remmy Valenzuela,"4,657,794","-10,243",2210,"4,990,719"
Codiciado,"4,656,435","-9,545",1171,"7,311,880"
Los Angeles De Charly,"4,656,435","-2,379",2148,"4,668,123"
AVAION,"4,656,266","-22,376",2078,"4,762,493"
Hot Chocolate,"4,650,514","-38,753",2301,"4,922,506"
Gabby Barrett,"4,649,502","-15,366",1534,"6,271,572"
jnhygs,"4,648,154","-10,575",1798,"5,741,989"
SPLYXER,"4,643,703","-10,444",1619,"6,459,104"
La Ley,"4,642,865","3,094",1503,"5,967,833"
t.A.T.u.,"4,642,698","-5,709",1884,"5,264,741"
Drowning Pool,"4,641,610","-1,506",2308,"4,788,052"
Yiyo Sarante,"4,640,857","4,587",1694,"5,858,949"
Keisya Levronka,"4,636,603","-9,533",1507,"6,259,545"
Jungeli,"4,634,275","-2,744",2438,"4,688,654"
Trap Capos,"4,633,693",-914,2288,"4,892,648"
Sunny Malton,"4,633,361","-13,363",1835,"5,313,074"
Meryl Streep,"4,632,780","6,367",2150,"4,632,780"
ANAVITÓRIA,"4,631,703","2,896",2027,"5,098,401"
Gaab,"4,628,476","11,828",1517,"5,910,536"
Groove Dealers,"4,624,601","-11,669",1624,"6,432,692"
Los Abuelos De La Nada,"4,621,232","1,230",2111,"5,130,570"
Craig David,"4,620,740","3,928",1691,"5,210,763"
Pk,"4,618,283","-4,263",2085,"5,221,614"
SDP,"4,613,549","-27,224",2396,"4,736,077"
Rony Parulian,"4,613,061","-4,895",2463,"4,629,964"
Hamsika Iyer,"4,611,190","6,884",2194,"5,034,200"
The National,"4,605,760","-9,745",998,"8,477,095"
Al James,"4,601,646","22,779",2477,"4,601,646"
Los Inquietos Del Norte,"4,601,002","-21,133",2231,"4,928,867"
VØJ,"4,600,680","-8,967",1976,"5,315,208"
Amy Macdonald,"4,600,197","-11,725",1854,"5,834,735"
Stardust,"4,597,547","23,867",2481,"4,597,547"
GEE LEE,"4,595,064","18,479",2482,"4,595,064"
gins&melodies,"4,592,986","-15,121",2192,"5,072,096"
Miksu / Macloud,"4,592,108","-5,760",1476,"5,961,631"
Marquinho no Beat,"4,591,709","-20,863",1138,"7,627,292"
Wolfine,"4,591,629","-9,131",825,"10,121,369"
Marcus & Martinus,"4,590,194","1,512",2487,"4,590,194"
YouNotUs,"4,590,035","7,379",1432,"6,697,313"
Idgitaf,"4,586,934","-8,770",1377,"6,950,380"
Hivi!,"4,584,317","2,373",2119,"4,930,628"
Guyon Waton,"4,583,367","-34,098",2206,"5,010,746"
A-Trak,"4,582,181","6,775",1922,"5,323,408"
elijah woods,"4,581,075","-9,119",1915,"5,656,114"
T3R Elemento,"4,579,182","-5,611",1787,"5,244,304"
Young Money,"4,577,686","-7,899",1545,"6,167,443"
Geisha,"4,576,978","-15,848",1150,"8,290,047"
Headie One,"4,576,270","-25,939",1561,"5,729,948"
Antônio Carlos Jobim,"4,572,270","-4,393",2306,"4,842,738"
Sonny Wern,"4,563,693","3,102",2296,"4,813,954"
Blue Swede,"4,561,986","54,754",1896,"5,762,837"
