Artist and Title,Days,T10,Pk,(x?),PkStreams,Total
Sentino - Kosmos,5,"",105,"","42,857","176,306"
Kanye West - Junya,4,"",42,"","60,884","176,250"
PRO8L3M - Golden,13,"",24,"","25,759","176,229"
Beny Jr - Sigue,5,"",181,"","37,304","176,210"
sanah - Pożal się Boże,6,"",97,"","39,559","176,158"
Dwa Sławy - Halo?,19,"",84,"","12,288","176,099"
"Dawid Podsiadło - Najnowszy Klip (na żywo, akustycznie)",9,"",55,"","31,964","176,009"
ReTo - Aspen,6,"",91,"","42,987","175,839"
Kwiat Jabłoni - Przezroczysty świat,7,"",72,"","33,801","175,766"
Madison Beer - Home With You,21,"",119,"","9,624","175,569"
Zeamsone - Zmęczony Imprezą,5,"",134,"","43,518","175,511"
BENITO - 2PM,5,"",108,"","42,045","175,450"
Favst - francuskie filmy,7,"",112,"","33,850","175,336"
Fausti - Chce się tylko bawić,4,"",66,"","53,355","175,243"
Foo Fighters - The Sky Is A Neighborhood,28,"",64,"","10,669","175,095"
Studio Accantus - Anioł pasterzom mówił,3,"",61,"","95,971","174,520"
SUICIDAL-IDOL - ecstacy,6,"",157,"","31,473","174,443"
Taylor Swift - Gorgeous,12,"",16,"","22,533","174,178"
Imagine Dragons - Rise Up,22,"",33,"","20,896","174,091"
Ewa Farna & Bartosz Budziewski - Mędrcy świata monarchowie,5,"",69,"","59,134","173,945"
PSY - That That (prod. & feat. SUGA of BTS),6,"",144,"","35,209","173,920"
M83 - Midnight City,91,"",119,"","10,162","173,914"
vkie - KIEDY NAS TO ZNISZCZY?,5,"",104,"","46,741","173,910"
The Weeknd - True Colors,27,"",39,"","11,672","173,901"
Ed Sheeran - One,101,"",106,"","5,398","173,805"
SB Maffija - Znowu razem,9,"",110,"","24,003","173,759"
Kukon - follow god,4,"",66,"","67,215","173,521"
"Tyler, The Creator - I THINK",8,"",25,"","34,098","173,473"
Sia - You're Never Fully Dressed Without a Smile (2014 Film Version),80,"",54,"","4,347","173,320"
Bary - BŁĘDNE KOŁO,4,"",103,"","55,855","173,254"
Oliwka Brazil - S.E.K.S.,5,"",83,"","49,794","173,113"
Jennifer Lopez - Let's Get Loud,7,"",33,"","68,703","173,040"
CORPSE - HOT DEMON B!TCHES NEAR U ! ! !,7,"",134,"","30,342","172,861"
Taylor Swift - Suburban Legends (Taylor's Version) (From The Vault),4,"",57,"","69,427","172,739"
"Andrew Underberg - Loser, Baby",5,"",167,"","35,405","172,589"
Alvaro Soler - El Mismo Sol,74,"",78,"","3,122","172,506"
"Urszula - W zlobie lezy, ktoz pobiezy",5,"",41,"","61,523","172,489"
Julia Żugaj - Południowy Biegun,4,"",73,"","51,481","172,327"
Drake - First Person Shooter,4,"",60,"","62,979","172,261"
Rammstein - SEX,10,"",29,"","32,874","172,031"
Mac Miller - Self Care,14,"",50,"","20,370","171,825"
Wac Toja - Scooby Doo,10,"",180,"","19,126","171,796"
David Guetta - Titanium,81,"",61,"","13,738","171,669"
George Ezra - Paradise,20,"",95,"","10,838","171,594"
Anna Maria Jopek - Hej W Dzień Narodzenia,3,"",90,"","67,329","171,520"
schafter - kwaśny diesel,7,"",39,"","47,844","171,496"
Solar - Obłęd,12,"",89,"","20,010","171,154"
