Artist and Title,Days,T10,Pk,(x?),PkStreams,Total
Naughty Boy - La La La,154,"",57,"","57,908","2,832,509"
Beyoncé - BODYGUARD,21,"",16,"","304,231","2,831,413"
Burl Ives - Rudolph The Red-Nosed Reindeer,22,"",76,"","401,373","2,828,298"
iLL BLU - Magic,43,"",63,"","88,354","2,828,195"
Cults - Gilded Lily,42,"",99,"","81,162","2,825,464"
Liam Gallagher - For What It's Worth,45,"",41,"","141,565","2,821,008"
Stormzy - Big Michael,31,"",16,"","292,732","2,817,434"
The Crystals - Rudolph the Red-Nosed Reindeer,32,"",80,"","196,702","2,816,718"
Nick Brewer - Talk To Me,77,"",53,"","60,492","2,814,668"
Billie Eilish - listen before i go,33,"",31,"","208,817","2,814,452"
Bob Marley & The Wailers - Three Little Birds,45,"",112,"","85,254","2,809,371"
Wretch 32 - 6 Words,81,"",30,"","63,032","2,806,489"
Taylor Swift - thanK you aIMee,15,"",24,"","462,569","2,804,959"
Not3s - Addison Lee,67,"",104,"","47,588","2,803,522"
Drake - Can't Have Everything,28,"",27,"","288,124","2,800,521"
alt-J - Every Other Freckle,105,"",26,"","71,586","2,798,851"
Drake - Feel No Ways,67,"",52,"","82,425","2,798,461"
The Fray - How to Save a Life,66,"",80,"","69,560","2,797,408"
Olivia Rodrigo - pretty isn’t pretty,21,"",18,"","288,016","2,796,329"
Imagine Dragons - I Bet My Life,67,"",24,"","78,493","2,796,147"
Matthew Wilder - Break My Stride,38,"",68,"","99,057","2,795,383"
Taylor Swift - mirrorball,27,1,10,"","339,409","2,788,476"
Lil Nas X - Rodeo,38,"",64,"","99,626","2,786,643"
Fleetwood Mac - Everywhere,72,"",60,"","69,471","2,782,397"
DJ Khaled - Shining,48,"",64,"","81,697","2,782,355"
6ix9ine - TIC TOC,27,"",14,"","236,644","2,781,782"
Adele - All I Ask,40,"",35,"","157,718","2,780,682"
Drake - Finesse,27,"",27,"","333,750","2,780,645"
Travis Scott - HIGHEST IN THE ROOM,36,"",15,"","186,134","2,779,908"
Drake - Ice Melts,32,"",38,"","247,191","2,775,356"
Gwen Stefani - The Sweet Escape,54,"",78,"","74,714","2,774,896"
Harry Styles - Kiwi,39,"",47,"","150,238","2,774,716"
Beyoncé - Love On Top,59,"",57,"","98,931","2,771,149"
Bruno Mars - Talking to the Moon,48,"",94,"","64,784","2,769,224"
Taylor Swift - gold rush,29,1,9,"","374,682","2,768,064"
Pop Smoke - Woo Baby,40,"",43,"","154,267","2,765,479"
"Lorde - Homemade Dynamite (Feat. Khalid, Post Malone & SZA) - REMIX",46,"",67,"","79,862","2,757,835"
J Hus - Big Conspiracy,21,1,8,"","379,902","2,757,236"
venbee - low down,39,"",58,"","90,290","2,752,259"
Olly Alexander (Years & Years) - All For You,49,"",98,"","77,919","2,751,679"
Summer Walker - Come Thru,44,"",62,"","109,637","2,741,629"
Central Cee - Daily Duppy,35,"",25,"","115,649","2,740,382"
Toploader - Dancing in the Moonlight - 2001 Remix,78,"",56,"","75,331","2,739,859"
"Andrew Garfield - 30/90 (from ""tick, tick... BOOM!"" Soundtrack from the Netflix Film)",40,"",58,"","85,321","2,738,522"
PARTYNEXTDOOR - Come and See Me,92,"",110,"","40,775","2,735,049"
OneRepublic - Run,48,"",95,"","90,078","2,731,025"
N.E.R.D - Lemon - Drake Remix,39,"",66,"","95,118","2,730,858"
Drake - Glow,26,"",24,"","301,441","2,724,746"
Kid Ink - Hotel,108,"",51,"","46,359","2,722,420"
Stormzy - One Second,31,"",38,"","217,927","2,719,616"
6ix9ine - MAMA,28,2,5,"","277,101","2,715,925"
Tion Wayne - Knock Knock,33,"",23,"","163,938","2,715,576"
DigDat - No Cap,41,"",64,"","109,045","2,713,895"
Kendrick Lamar - United In Grief,19,2,1,(x1),"609,214","2,712,542"
Jung Kook - 3D,31,"",30,"","138,011","2,711,203"
Taylor Swift - seven,27,"",14,"","319,053","2,710,442"
The Kid LAROI - TOO MUCH,28,"",12,"","210,600","2,710,007"
Russ Millions - 6:30,42,"",80,"","82,416","2,708,670"
80purppp - Hex,39,"",76,"","88,606","2,704,392"
Halsey - Nightmare,34,"",51,"","129,910","2,702,294"
Lorde - Royals,132,"",77,"","89,558","2,699,681"
Rudimental - Feel the Love,66,"",91,"","58,869","2,695,937"
The Beatles - Now And Then,15,4,1,(x2),"435,229","2,689,081"
Juice WRLD - Wandered To LA,32,"",41,"","194,227","2,686,846"
Train - Shake up Christmas,22,"",88,"","343,675","2,686,770"
Sam Smith - I'm Not Here To Make Friends,30,"",46,"","128,399","2,683,347"
Lewis Capaldi - Fade,28,"",25,"","242,698","2,680,329"
Khalid - Eleven,32,"",55,"","114,322","2,677,677"
Sigma - Cry,53,"",64,"","71,168","2,677,214"
Pharrell Williams - Just A Cloud Away,32,"",18,"","158,412","2,677,132"
Paris Paloma - labour,33,"",28,"","145,553","2,670,034"
Taylor Swift - The Albatross,15,"",25,"","432,609","2,668,728"
Post Malone - Allergic,27,"",19,"","294,900","2,667,859"
Kendrick Lamar - Father Time,19,4,5,"","498,298","2,664,251"
Adele - Woman Like Me,15,1,9,"","495,604","2,664,041"
mgk - RAP DEVIL,34,"",52,"","117,327","2,663,743"
Adele - Love Is A Game,17,"",12,"","419,428","2,659,556"
Swae Lee - Won't Be Late,41,"",56,"","105,966","2,658,226"
Florence + The Machine - Ship To Wreck,100,"",51,"","69,531","2,657,672"
Avicii - For A Better Day,76,"",60,"","138,098","2,655,469"
Olly Murs - Moves,47,"",65,"","106,749","2,655,222"
Chappell Roan - Red Wine Supernova,30,"",88,"","105,633","2,651,822"
Stormzy - Superheroes,29,"",30,"","209,024","2,651,765"
BTS - Permission to Dance,31,"",33,"","161,904","2,650,570"
"Bad Boy Chiller Crew - BMW - French The Kid, MIST, Bugzy Malone Remix",45,"",106,"","72,495","2,648,778"
Ariana Grande - 34+35 Remix,33,1,5,"","224,581","2,648,450"
MIST - Rollin',47,"",88,"","75,552","2,639,323"
Tate McRae - that way,50,"",116,"","60,471","2,635,693"
Drake - Pipe Down,20,"",11,"","547,619","2,627,522"
Knucks - Nice & Good,38,"",50,"","111,382","2,622,794"
Sub Focus - Ready To Fly - Sub Focus & Dimension,37,"",96,"","88,957","2,622,200"
The 1975 - If You’re Too Shy (Let Me Know) - Edit,33,1,10,"","283,568","2,618,989"
Enrique Iglesias - SUBEME LA RADIO,56,"",56,"","81,355","2,618,083"
Tion Wayne - Deluded,32,"",42,"","129,331","2,616,730"
A Great Big World - Say Something,143,"",96,"","30,582","2,614,492"
Potter Payper - Gangsteritus Part 2,32,"",19,"","163,629","2,613,684"
Drake - Nothings Into Somethings,26,"",28,"","285,916","2,609,993"
J Hus - Triumph,24,"",15,"","303,040","2,606,521"
Vedo - You Got It,46,"",97,"","65,874","2,602,272"
StaySolidRocky - Party Girl (Remix),14,"",13,"","229,487","2,601,832"
Lil Tecca - Did It Again,48,"",105,"","67,438","2,599,777"
Martin Solveig - + 1,91,"",103,"","51,271","2,599,018"
goddard. - Wasted Youth,29,"",65,"","124,058","2,598,575"
Ben Howard - I Forget Where We Were,107,"",38,"","54,893","2,598,290"
Panic! At The Disco - Say Amen (Saturday Night),38,"",45,"","131,166","2,589,589"
Melanie Martinez - Pity Party,64,"",72,"","55,104","2,588,829"
Dave - Law Of Attraction,22,"",12,"","440,848","2,585,637"
One Acen - Miss Diva,39,"",73,"","85,314","2,584,463"
D-Block Europe - Kevin McCallister,38,"",72,"","105,595","2,581,341"
Lady Gaga - Million Reasons,65,"",65,"","72,690","2,579,940"
James Bay - Wild Love,45,"",40,"","158,389","2,577,947"
Burna Boy - Sittin' On Top Of The World,27,"",59,"","124,793","2,576,420"
Tion Wayne - Let’s Go,33,"",38,"","128,716","2,575,536"
D-Block Europe - 4 The Win,29,"",19,"","177,695","2,572,589"
Taylor Swift - ‘tis the damn season,26,"",13,"","358,169","2,566,477"
Nat King Cole - The Christmas Song (Merry Christmas To You) - Remastered 1999,44,"",23,"","352,629","2,564,647"
WhoHeem - Lets Link,41,"",89,"","72,909","2,563,966"
Bing Crosby - Winter Wonderland - Remastered,21,"",68,"","390,352","2,559,477"
Cyndi Lauper - Girls Just Want to Have Fun,40,"",92,"","98,020","2,555,822"
Migos - Narcos,42,"",53,"","123,736","2,553,049"
Post Malone - Staring At The Sun,27,"",25,"","252,277","2,551,758"
D-Block Europe - No Cellular Site,28,"",13,"","192,996","2,551,519"
Wizkid - Essence,42,"",69,"","90,664","2,547,061"
Drake - Childs Play,66,"",66,"","69,506","2,546,089"
AJ Tracey - Anxious,33,"",20,"","178,338","2,544,458"
98º - What Christmas Means To Me,31,"",82,"","172,791","2,544,412"
Justin Bieber - Get Used To It,61,"",54,"","79,670","2,542,708"
Ed Sheeran - First Times,22,1,9,"","309,883","2,542,055"
MoStack - Stinking Rich,26,1,9,"","303,759","2,538,530"
21 Savage - née-nah,22,"",13,"","226,636","2,536,932"
Rudimental - Rumour Mill,85,"",84,"","43,840","2,535,535"
Sam Smith - Fire On Fire,41,"",71,"","104,197","2,533,211"
Reggie ‘N’ Bollie - New Girl,45,"",52,"","89,342","2,529,848"
Drake - BackOutsideBoyz,16,1,7,"","500,834","2,525,488"
Sidhu Moose Wala - 47,29,"",25,"","196,893","2,524,476"
Desiigner - Tiimmy Turner,78,"",94,"","41,754","2,522,778"
Mariah Carey - All I Want For Christmas Is You - Original Version,25,8,5,"","229,597","2,522,269"
Beyoncé - BROWN SKIN GIRL,34,"",58,"","125,826","2,520,519"
Demi Lovato - Body Say,84,"",92,"","50,706","2,518,932"
Tai Verdes - A-O-K,47,"",115,"","64,580","2,518,062"
Kendrick Lamar - Rich Spirit,20,1,9,"","425,426","2,517,102"
Pinkfong - Baby Shark,47,"",100,"","85,749","2,515,108"
Superstar Pride - PAINTING PICTURES,29,"",24,"","135,766","2,513,678"
Kendrick Lamar - PRIDE.,28,"",27,"","229,970","2,513,535"
Taylor Swift - High Infidelity,23,"",32,"","224,914","2,512,145"
Stormzy - Rainfall,29,"",25,"","243,067","2,508,799"
Mariah Carey - Oh Santa!,24,"",69,"","343,819","2,503,512"
Tones And I - Never Seen the Rain,45,"",138,"","65,648","2,501,818"
Queen - Killer Queen - Remastered 2011,39,"",86,"","76,852","2,501,796"
Zedd - Good Thing,42,"",80,"","82,172","2,495,478"
Taylor Swift - I Hate It Here,15,"",31,"","376,574","2,486,589"
alt-J - Left Hand Free,120,"",33,"","58,356","2,478,681"
Zedd - 365,39,"",57,"","117,010","2,475,726"
Nicki Minaj - Red Ruby Da Sleeze,31,"",48,"","112,026","2,474,102"
Bastille - World Gone Mad,49,"",58,"","92,577","2,471,481"
Drake - Peak,22,"",21,"","393,640","2,468,919"
Rag'n'Bone Man - All You Ever Wanted,42,"",87,"","74,190","2,468,089"
"Lily James - Andante, Andante",40,"",92,"","77,316","2,466,401"
XXXTENTACION - NUMB,32,"",24,"","226,681","2,465,242"
MNEK - At Night (I Think About You),75,"",86,"","60,179","2,464,977"
Teddy Swims - The Door,26,"",62,"","137,033","2,464,129"
The Plug - Broken Homes,33,"",52,"","104,718","2,461,670"
Calvin Harris - Pray to God,106,"",62,"","40,266","2,456,790"
Taylor Swift - Welcome To New York (Taylor's Version),14,1,6,"","663,071","2,455,010"
Sam Fender - The Borders,40,"",55,"","138,655","2,453,222"
Drake - Jaded,22,"",24,"","353,833","2,451,959"
Skylar Grey - Last One Standing,34,"",35,"","128,246","2,447,624"
The Wombats - Cheetah Tongue,46,"",87,"","87,003","2,439,332"
D-Block Europe - Darling,42,"",52,"","139,848","2,438,221"
Jorja Smith - Addicted,36,"",51,"","110,590","2,434,889"
Travis Scott - FRANCHISE,29,"",25,"","185,536","2,433,514"
Crazy Cousinz - Feelings (Wifey),49,"",132,"","57,505","2,432,395"
Felix Jaehn - Bonfire,73,"",90,"","80,443","2,431,021"
Justin Bieber - We Are,58,"",55,"","78,598","2,430,786"
Ariana Grande - Be Alright,71,"",76,"","73,309","2,428,084"
Jung Kook - Standing Next to You,26,"",31,"","138,640","2,426,624"
Ed Sheeran - Way To Break My Heart,21,"",21,"","299,014","2,425,739"
Ariana Grande - everytime,28,"",27,"","205,276","2,423,021"
Benson Boone - GHOST TOWN,35,"",66,"","84,417","2,420,286"
girl in red - we fell in love in october,35,"",87,"","78,693","2,418,878"
Sia - Candy Cane Lane,32,"",90,"","146,512","2,417,221"
Brent Faiyaz - Dead Man Walking,45,"",119,"","72,594","2,413,458"
Taylor Swift - this is me trying,24,"",15,"","299,615","2,412,200"
The La's - There She Goes,48,"",71,"","92,077","2,411,382"
Ariana Grande - supernatural,16,"",15,"","302,670","2,409,499"
Taylor Swift - All Too Well (Taylor's Version),21,1,9,"","292,741","2,408,059"
Luke Christopher - Lot to Learn,62,"",98,"","48,322","2,401,428"
Taylor Swift - Chloe or Sam or Sophia or Marcus,14,"",27,"","419,000","2,399,969"
ScHoolboy Q - X,32,"",33,"","178,204","2,395,464"
Dave - Heart Attack,19,"",11,"","448,941","2,395,294"
Michael Calfan - Treasured Soul,70,"",51,"","71,006","2,394,534"
Demi Lovato - Tell Me You Love Me,49,"",88,"","69,298","2,386,221"
Bring Me The Horizon - medicine,36,"",35,"","131,427","2,385,412"
Doja Cat - Candy,45,"",128,"","61,414","2,384,936"
The Weeknd - False Alarm,44,"",42,"","120,059","2,381,229"
YK Osiris - Worth It,44,"",123,"","61,019","2,380,237"
Labrinth - All For Us,31,"",43,"","108,487","2,375,181"
Fred again.. - Jungle,40,"",104,"","86,318","2,374,114"
mgk - maybe,27,"",14,"","172,562","2,371,848"
Sam Smith - My Oasis,35,"",36,"","151,553","2,371,475"
ABBA - Don't Shut Me Down,25,"",35,"","221,151","2,371,440"
MEDUZA - Tell It To My Heart,32,"",60,"","115,548","2,364,552"
Jess Glynne - Ain't Got Far To Go,85,"",74,"","44,009","2,361,374"
YG - Go Loko,44,"",138,"","61,797","2,359,109"
The Chainsmokers - Setting Fires,55,"",70,"","57,826","2,358,837"
Drake - Hype,54,"",52,"","84,631","2,357,519"
Ed Sheeran - Give Me Love,83,"",53,"","86,188","2,356,809"
Kendrick Lamar - XXX. FEAT. U2.,27,"",25,"","237,909","2,356,351"
Jason Derulo - Love Not War (The Tampa Beat),43,"",106,"","66,313","2,355,318"
Taylor Swift - invisible string,24,"",20,"","276,517","2,354,360"
Drake - Back To Back,100,"",82,"","32,591","2,354,132"
6ix9ine - TROLLZ,28,"",31,"","127,556","2,352,671"
DaBaby - FIND MY WAY,29,"",30,"","150,164","2,350,929"
Billie Eilish - 8,27,"",28,"","213,968","2,350,596"
Burna Boy - Real Life,42,"",37,"","134,660","2,345,123"
Kendrick Lamar - YAH.,25,"",18,"","265,679","2,344,733"
Dua Lipa - Want To,39,"",86,"","82,815","2,342,653"
Future - Fine China,36,"",54,"","124,829","2,342,000"
Jamie Cullum - Show Me The Magic,30,"",72,"","190,561","2,338,402"
M Huncho - Bando Ballads,36,"",74,"","123,074","2,338,020"
J Hus - Common Sense,39,"",57,"","133,144","2,337,597"
Kendrick Lamar - meet the grahams,13,"",16,"","301,370","2,333,426"
Elton John - Your Song,40,"",41,"","116,179","2,331,169"
Liam Gallagher - Everything's Electric,29,"",12,"","224,191","2,331,087"
"Andrew Underberg - Loser, Baby",27,"",76,"","101,962","2,328,479"
BLACKPINK - Shut Down,27,"",23,"","161,949","2,327,135"
Drake - Privileged Rappers,15,1,9,"","480,122","2,323,490"
Katy Perry - Small Talk,35,"",41,"","138,646","2,319,735"
Drake - Since Way Back,25,"",33,"","262,010","2,319,077"
MNEK - Colour,41,"",120,"","67,793","2,318,995"
Fredo - Back to Basics,23,1,7,"","229,682","2,318,485"
"Baddiel, Skinner & Lightning Seeds - Three Lions '98",23,"",14,"","248,273","2,318,127"
Eminem - Leaving Heaven,21,"",18,"","291,676","2,312,050"
Kanye West - Wouldn't Leave,18,"",11,"","305,634","2,311,418"
J. Cole - ATM,19,"",18,"","278,317","2,310,106"
Chip - CRB Check,43,"",83,"","85,322","2,308,661"
Blackstreet - No Diggity,45,"",69,"","91,264","2,305,303"
WHTKD - Say To Me,57,"",82,"","60,547","2,301,739"
Young Stoner Life - Solid,28,"",28,"","178,068","2,300,453"
Kygo - Freedom,38,"",63,"","111,203","2,295,726"
Cashmere Cat - Quit,45,"",76,"","73,239","2,295,705"
BLACKPINK - How You Like That,31,"",32,"","130,718","2,290,288"
Kylie Minogue - Santa Claus Is Coming To Town,21,"",98,"","249,412","2,289,101"
Central Cee - I Will,20,"",20,"","210,632","2,287,546"
Drake - Energy,90,"",42,"","62,061","2,286,338"
Taylor Swift - betty,24,"",23,"","263,249","2,283,082"
Ryan Gosling - City Of Stars,40,"",51,"","98,466","2,281,091"
Drake - Pain 1993,21,1,3,(x1),"392,331","2,280,827"
Demi Lovato - I Love Me,35,"",59,"","116,228","2,278,248"
Bing Crosby - Mele Kalikimaka - New mono-to-stereo mix,16,"",52,"","551,006","2,277,694"
Kendrick Lamar - i,103,"",51,"","53,398","2,271,002"
Taylor Swift - Hits Different,18,1,3,(x1),"309,752","2,269,399"
Auli'i Cravalho - How Far I'll Go,59,"",138,"","44,910","2,266,920"
Zerb - Addicted,23,"",87,"","131,077","2,265,474"
Paul Rosenberg - Paul - Skit,21,"",18,"","292,759","2,264,866"
"Cheryl Cole, Tinie Tempah - Crazy Stupid Love",75,"",26,"","55,369","2,263,716"
Burna Boy - Talibans II,30,"",73,"","100,333","2,257,743"
Sam Fender - Play God,37,"",78,"","100,169","2,257,532"
Oasis - Live Forever,41,"",36,"","148,759","2,257,265"
Taylor Swift - illicit affairs,22,"",19,"","286,301","2,251,706"
Nico & Vinz - In Your Arms,91,"",51,"","36,849","2,250,301"
Unknown T - Leave Dat Trap,30,"",54,"","124,231","2,249,452"
Shaggy - I Need Your Love,67,"",54,"","57,879","2,247,480"
The Weeknd - Is There Someone Else?,22,1,10,"","242,334","2,247,259"
Kehlani - Gangsta,53,"",74,"","57,121","2,247,011"
The Score - Oh My Love,97,"",66,"","42,412","2,244,898"
Imagine Dragons - Whatever It Takes,45,"",53,"","100,731","2,244,671"
Tems - Me & U,31,"",107,"","99,067","2,241,804"
Olly Alexander (Years & Years) - Desire,64,"",70,"","71,897","2,239,938"
M Huncho - Indulge,32,"",40,"","177,813","2,236,158"
Drake - Still Here,60,"",68,"","68,473","2,235,611"
"Bobby ""Boris"" Pickett & The Crypt-Kickers - Monster Mash",20,1,5,"","351,998","2,234,895"
Adele - Skyfall - Full Length,46,"",54,"","116,472","2,232,724"
One Acen - EIO,42,"",80,"","96,558","2,231,080"
Eminem - In Too Deep,20,"",15,"","328,924","2,229,431"
DJ Khaled - Just Us,35,"",85,"","87,700","2,229,245"
JAY1 - Flex,33,"",86,"","91,509","2,228,134"
Tame Impala - Borderline,33,"",71,"","113,812","2,221,660"
The Chainsmokers - Hope,32,"",59,"","95,251","2,221,654"
Lil Baby - California Breeze,26,"",27,"","163,046","2,221,638"
Lil Uzi Vert - That Way - Bonus Track,29,"",41,"","129,067","2,217,631"
RAYE - Regardless,42,"",98,"","72,120","2,217,558"
Catfish and the Bottlemen - Soundcheck,70,"",52,"","81,959","2,215,249"
James Bay - Scars,111,"",75,"","32,662","2,213,194"
Kanye West - Only One,71,"",52,"","46,193","2,212,921"
Jack Black - Peaches,24,"",32,"","126,407","2,204,400"
Kanye West - Violent Crimes,19,"",15,"","263,234","2,203,583"
Ed Sheeran - Tides,18,1,7,"","329,175","2,200,862"
Eminem - Nice Guy,22,"",29,"","212,677","2,200,517"
AnnenMayKantereit - Tom's Diner,35,"",89,"","82,002","2,198,501"
Diplo - Lonely,38,"",95,"","71,721","2,195,860"
Shawn Mendes - When You're Gone,31,"",38,"","126,164","2,194,435"
DMX - X Gon' Give It To Ya,55,"",21,"","184,237","2,194,197"
Halsey - New Americana,101,"",121,"","28,686","2,193,880"
Riton - I Don't Want You,41,"",124,"","75,269","2,191,428"
CamelPhat - Rabbit Hole,39,"",130,"","69,269","2,191,044"
Drake - Texts Go Green,15,1,5,"","472,315","2,189,755"
Amanda Seyfried - One Of Us,38,"",107,"","70,513","2,188,382"
Katy Perry - Cozy Little Christmas,15,"",92,"","316,717","2,187,962"
Drake - Is There More,20,"",20,"","394,198","2,184,660"
Kanye West - Waves,47,"",59,"","72,811","2,183,588"
Kris Kross Amsterdam - Whenever,35,"",83,"","84,735","2,180,069"
Private Zero - Someone Else,37,"",117,"","67,955","2,179,859"
Rihanna - Disturbia,26,"",34,"","164,811","2,179,283"
Abra Cadabra - Mixed Emotions,35,"",53,"","86,998","2,170,863"
Major Lazer - Trigger,34,"",72,"","98,448","2,169,745"
Lana Del Rey - A&W,23,"",16,"","175,016","2,168,361"
AJ Tracey - Joga Bonito,23,"",108,"","116,180","2,166,898"
Taylor Swift - I Look in People's Windows,14,"",34,"","352,925","2,165,959"
Popcaan - We Caa Done,22,"",29,"","154,614","2,165,771"
beabadoobee - Glue Song,24,"",21,"","162,471","2,165,409"
Dwayne Johnson - You're Welcome,56,"",120,"","43,302","2,164,173"
Rudimental - Never Let You Go,75,"",51,"","60,557","2,163,998"
Michael Bublé - Winter Wonderland,34,"",62,"","166,773","2,163,409"
Olivia Rodrigo - teenage dream,18,"",20,"","264,809","2,162,329"
Kanye West - POWER,101,"",110,"","31,393","2,161,709"
Benzz - Je M'appelle,33,"",106,"","85,164","2,158,435"
The Kid LAROI - Not Sober,30,"",42,"","160,331","2,156,192"
Kid Ink - Body Language,117,"",100,"","24,857","2,155,978"
Jess Glynne - Right Here,82,"",27,"","52,422","2,155,380"
Doja Cat - Attention,21,"",22,"","174,467","2,154,886"
Kendrick Lamar - FEEL.,23,"",24,"","245,509","2,152,446"
P!nk - Revenge,38,"",45,"","128,633","2,152,312"
Corinne Bailey Rae - Put Your Records On,52,"",71,"","77,342","2,151,406"
Demi Lovato - Confident,68,"",71,"","43,978","2,149,486"
Dave - Three Rivers,15,1,9,"","497,252","2,147,075"
J. Cole - Kevin’s Heart,19,"",20,"","256,829","2,145,340"
Disclosure - BOSS,60,"",87,"","47,534","2,142,798"
Drake - Broke Boys,15,"",13,"","392,339","2,142,536"
Lil Yachty - Oprah’s Bank Account (Lil Yachty & DaBaby feat. Drake),32,"",33,"","146,077","2,140,548"
FISHER - Losing It,40,"",125,"","79,800","2,139,876"
"Tyler, The Creator - WUSYANAME",21,"",13,"","256,008","2,138,099"
UB40 - Red Red Wine,44,"",102,"","73,183","2,135,205"
Ariana Grande - don't wanna break up again,14,"",14,"","309,781","2,128,711"
Camila Cabello - Real Friends,36,"",54,"","120,398","2,128,416"
Iggy Azalea - Team,52,"",80,"","51,292","2,127,373"
6ix9ine - STOOPID,28,"",49,"","129,513","2,125,800"
Drake - 7am On Bridle Path,15,"",14,"","498,233","2,123,709"
Måneskin - SUPERMODEL,28,"",48,"","115,258","2,119,795"
Miley Cyrus - River,21,"",16,"","188,792","2,119,376"
Disturbed - The Sound Of Silence,51,"",72,"","60,824","2,119,275"
Beyoncé - HEATED,26,"",26,"","178,332","2,118,866"
KSI - Cap,21,1,3,(x1),"375,746","2,117,630"
Juice WRLD - Blood On My Jeans,23,"",17,"","274,677","2,116,952"
Lil Wayne - Mona Lisa,20,"",19,"","204,169","2,116,512"
Disclosure - Holding On,68,"",53,"","55,435","2,113,858"
Kendrick Lamar - LUST.,25,"",29,"","215,034","2,112,244"
The Fratellis - Chelsea Dagger,45,"",76,"","80,238","2,111,498"
Blake Roman - Poison - Hazbin Hotel Original Soundtrack,25,"",90,"","96,901","2,111,482"
The Script - Hall of Fame,38,"",104,"","102,514","2,109,932"
Charlie Puth - Left and Right (Feat. Jung Kook of BTS),28,"",46,"","127,201","2,109,911"
"Destiny's Child - Bills, Bills, Bills",37,"",93,"","72,386","2,108,576"
Arctic Monkeys - Star Treatment,14,1,2,(x1),"606,565","2,108,167"
Summer Walker - No Love,25,"",16,"","214,361","2,108,139"
Ariana Grande - just like magic,23,1,10,"","305,846","2,104,647"
Bring Me The Horizon - Kool-Aid,20,"",13,"","207,501","2,102,690"
Headie One - Rose Gold,35,"",41,"","133,393","2,100,160"
Drake - Treacherous Twins,15,"",12,"","397,811","2,098,186"
Ella Henderson - Yours,84,"",49,"","43,957","2,098,155"
BLACKPINK - Ice Cream,32,"",56,"","121,711","2,097,119"
Lil Nas X - SUN GOES DOWN,28,"",54,"","117,808","2,095,400"
Lana Del Rey - Radio,31,"",125,"","79,034","2,095,235"
Frank Ocean - Chanel,36,"",68,"","84,219","2,094,667"
RAYE - Flip A Switch.,31,"",125,"","74,138","2,094,313"
Taylor Swift - Peter,14,"",37,"","319,576","2,092,938"
Katy Perry - Daisies,35,"",61,"","97,327","2,086,127"
The 1975 - Love Me,62,"",38,"","88,700","2,082,306"
Bad Boy Chiller Crew - 450,36,"",139,"","67,997","2,082,032"
Jazzy - Feel It - Club Edit,28,"",116,"","86,275","2,080,338"
Dave - Mercury,20,1,5,"","251,510","2,080,219"
Stay Flee Get Lizzy - 2 Cups,39,"",121,"","67,675","2,079,176"
Major Lazer - Powerful,81,"",59,"","48,742","2,078,259"
Juice WRLD - Bad Boy,28,"",25,"","141,035","2,077,373"
The Weeknd - Hurt You,20,"",17,"","231,998","2,076,168"
Headie One - Charades,31,"",66,"","94,176","2,074,573"
Vegedream - Ramenez la coupe à la maison,29,"",61,"","90,538","2,073,158"
Ed Sheeran - Shape of You - Acoustic,43,"",78,"","68,883","2,072,365"
Shawn Mendes - Youth,22,"",37,"","180,211","2,071,579"
mgk - forget me too,31,"",45,"","131,475","2,070,448"
Juice WRLD - Titanic,20,1,10,"","312,364","2,070,211"
Taylor Swift - The Bolter,14,"",41,"","305,987","2,067,656"
Little Mix - Confetti,22,"",15,"","189,889","2,067,395"
Kygo - Stranger Things,42,"",110,"","63,962","2,066,931"
Lewis Capaldi - Headspace,23,"",28,"","231,948","2,066,324"
Nicki Minaj - The Night Is Still Young,93,"",51,"","38,953","2,061,131"
J. Cole - H.Y.B.,19,"",17,"","226,941","2,058,932"
KSI - Voices,20,"",16,"","208,554","2,056,558"
Taylor Swift - Glitch,20,"",38,"","204,115","2,056,193"
J Balvin - UN DIA (ONE DAY) (Feat. Tainy),33,"",81,"","98,943","2,049,702"
Mae Muller - I Wrote A Song,19,1,9,"","195,112","2,049,567"
The 1975 - UGH!,64,"",78,"","53,367","2,047,714"
Mel & Kim - Rockin' Around The Christmas Tree,20,"",58,"","245,503","2,047,663"
Lady Gaga - Look What I Found,33,"",91,"","74,663","2,047,349"
Eminem - Believe,23,"",11,"","267,795","2,047,096"
J Hus - Helicopter,18,"",13,"","321,054","2,046,740"
Beyoncé - 16 CARRIAGES,16,"",19,"","269,033","2,045,862"
Kanye West - Believe What I Say,17,1,10,"","279,810","2,045,764"
OneRepublic - Start Again,32,"",80,"","88,712","2,042,609"
Tom Walker - Wait for You,37,"",101,"","67,638","2,041,270"
Billie Eilish - come out and play,24,"",50,"","118,972","2,039,677"
The Game - Eazy,19,2,8,"","204,663","2,039,563"
PinkPantheress - Passion,32,"",67,"","89,690","2,039,237"
Nemo - The Code,12,"",14,"","309,977","2,039,087"
Drake - Hours In Silence,14,"",11,"","423,737","2,034,153"
Ariana Grande - off the table,21,1,9,"","332,230","2,033,923"
Taylor Swift - Red (Taylor's Version),18,1,8,"","317,988","2,032,040"
Joyner Lucas - Isis,28,"",60,"","118,786","2,026,119"
Kanye West - Pt. 2,40,"",52,"","80,797","2,025,777"
The Weeknd - Double Fantasy,16,1,9,"","230,751","2,024,465"
Lovejoy - One Day,23,"",23,"","150,088","2,018,372"
Lil Uzi Vert - The Way Life Goes,47,"",111,"","54,913","2,018,336"
"Kurt Nilsen - Let It Snow, Let It Snow, Let It Snow",26,"",55,"","182,012","2,008,642"
