Artist,Total,100M
WINNER,"1,281.8",1
Felipe Peláez,"1,281.7",2
Labrinth,"1,281.1",4
Jax Jones,"1,279.8",4
Eden Muñoz,"1,274.9",2
Juan Luis Guerra,"1,268.5",1
Benny Blanco,"1,267.2",2
Gloria Groove,"1,266.6",4
Dynoro,"1,264.5",1
Sohail Sen,"1,260.7",2
Edward Maya,"1,260.6",2
Lil Mosey,"1,260.5",2
Nick Jonas,"1,260.2",2
Jay-Z,"1,259.5",3
Austin Mahone,"1,259.2",2
Bushido,"1,255.5",""
Liam Payne,"1,251.5",3
The Offspring,"1,250.9",3
Amit Kumar,"1,250.5",2
