Artist and Title,Days,Pk,(x?),Total,Today
Lana Del Rey - Summertime Sadness,385,33,"","2,679,904",0
George Ezra - Budapest,462,26,"","2,674,559",336
The Wanted - Glad You Came,540,27,"","2,664,815",0
Taylor Swift - Cruel Summer,390,1,(x6),"2,656,878","4,723"
Israel Kamakawiwo'ole - Over the Rainbow,386,28,"","2,650,719",36
Sam Smith & Normani - Dancing with a Stranger,355,1,(x2),"2,635,933",0
Ed Sheeran - Galway Girl,395,9,"","2,632,190",0
Coldplay - Fix You,197,26,"","2,631,521",0
Ac/Dc - Thunderstruck,406,21,"","2,614,237","1,818"
Lady Antebellum - Need You Now,347,7,"","2,612,207",0
Felix Jaehn - Ain't Nobody,285,7,"","2,605,513",0
Sam Smith & Kim Petras - Unholy,266,1,(x10),"2,604,162",309
Adele - When We Were Young,260,3,(x6),"2,601,992",78
Burak Yeter - Tuesday,323,19,"","2,596,101",270
Pitbull - International Love,314,12,"","2,592,738",146
David Guetta - Where Them Girls At,223,1,(x7),"2,583,877",0
Masked Wolf - Astronaut In the Ocean,321,1,(x4),"2,561,928",140
surf mesa - Ily,391,2,(x5),"2,560,071",110
P!nk - TRUSTFALL,404,2,(x19),"2,558,676",282
Ed Sheeran - Sing,334,5,"","2,548,997",174
David Guetta - She Wolf,260,3,(x3),"2,548,948",0
Klingande - Jubel,376,23,"","2,546,869",90
Topic & A7S - Breaking Me,422,4,"","2,541,412",0
Lauren Daigle - You Say,722,20,"","2,536,487",0
Major Lazer - Cold Water,198,1,(x16),"2,534,290",57
Joel Corry - Head & Heart,442,2,(x2),"2,531,920",0
Of Monsters and Men - Little Talks,457,26,"","2,531,652",0
Yolanda Be Cool & Dcup - We No Speak Americano,233,2,(x5),"2,530,872",0
David Guetta & Rihanna - Who's That Chick,240,4,"","2,527,218",0
Calvin Harris - Outside,249,3,(x1),"2,522,039",22
Bastille - Pompeii,473,29,"","2,512,566",32
Lady Gaga - Applause,178,1,(x4),"2,512,269",0
Robin Schulz - Sugar,280,6,"","2,485,018",114
Acraze - Do It To It,370,3,(x2),"2,483,588",0
Dua Lipa - Dance The Night,370,1,(x16),"2,460,520","1,320"
Mark Ronson - Nothing Breaks Like a Heart,300,1,(x1),"2,460,168",0
David Guetta - Shot Me Down,257,4,"","2,453,404",207
Selena Gomez & Marshmello - Wolves,245,1,(x3),"2,449,346",0
Rachel Platten - Fight Song,325,20,"","2,449,289",17
Ava Max - Kings & Queens,411,4,"","2,445,283",542
PSY - Gentleman,147,1,(x4),"2,444,850",0
Skrillex & Diplo - Where Are Ü Now,307,7,"","2,442,776",0
Maroon 5 - Maps,294,3,(x1),"2,441,456",0
Kelly Clarkson - Stronger,303,13,"","2,441,083",198
Jay-Z - Empire State of Mind,485,27,"","2,433,970",0
ZAYN & Taylor Swift - I Don't Wanna Live Forever,209,1,(x8),"2,432,599",0
5 Seconds of Summer - Youngblood,402,8,"","2,431,847",0
Dua Lipa - Levitating,473,3,(x2),"2,429,153",0
Pitbull - Back In Time,222,5,"","2,422,829",473
Journey - Don't Stop Believin',170,20,"","2,419,603","5,602"
Halsey - Without Me,312,2,(x1),"2,419,046",0
Shakira - Loca,296,7,"","2,418,520",0
