Pos,P+,Artist and Title,Days,Pk,(x?),Pts,Pts+,TPts,US,UK,DE,AU,JP
75,+8,"SDP, Sido & Esther Graf - Mama hat gesagt",33,40,"",1869,+164,0.064,"","",9,"",""
76,-30,Purple Disco Machine & ÁSDÍS - Beat Of Your Heart,131,17,"",1868,-737,0.421,"","",22,"",""
77,-24,Slimane - Mon amour,103,7,"",1852,-537,0.314,"","","","",""
78,-20,Eminem - Lose Yourself,254,5,"",1837,-282,2.905,79,80,146,46,""
79,+27,Wiz Khalifa - See You Again,2252,1,(x95),1835,+330,9.486,"","",154,"",""
80,+4,Ofenbach - Overdrive,243,7,"",1830,+141,1.041,"","",41,"",""
81,-14,Ac/Dc - Thunderstruck,406,21,"",1817,-88,2.614,113,187,"",66,""
82,+71,Fun. - We Are Young,989,1,(x22),1816,+582,8.397,"","","","",""
83,-5,Natasha Bedingfield - Unwritten,158,14,"",1793,-33,0.505,70,67,68,"",""
84,+58,Mark Ronson - Uptown Funk,2311,1,(x20),1785,+487,10.953,"","","","",""
85,NEW,Christine and the Queens - Full of life,1,85,"",1784,+1477,0.007,"",37,153,"",""
86,+7,Morgan Wallen - Last Night,481,14,"",1783,+177,1.511,53,"","",68,""
87,+101,Leony - Simple Life,59,66,"",1781,+717,0.102,"","",24,"",""
88,-9,Kenshi Yonezu - Mainichi - Every Day,10,63,"",1780,-31,0.019,"","","","",3
89,=,Creepy Nuts - Bling-Bang-Bang-Born,150,5,"",1752,+108,0.442,"","","","",6
90,+18,XG - WOKE UP,15,14,"",1752,+272,0.038,"","","","",67
91,-6,Joost - Europapa,97,24,"",1739,+67,0.204,"","","","",""
92,-23,BABYMONSTER - LIKE THAT,39,58,"",1738,-152,0.073,"","","","",187
93,+28,"Daft Punk, Pharrell Williams & Nile Rodgers - Get Lucky",310,46,"",1704,+309,0.481,"","","","",""
94,-14,Coldplay - Viva la Vida,1480,7,"",1700,-94,5.960,"","",99,195,""
95,-29,Ado - MIRROR,6,4,"",1685,-230,0.025,"","","","",14
96,-45,floyymenor & Cris Mj - Gata Only,55,36,"",1661,-854,0.136,"","",129,"",""
97,+82,"Macklemore & Ryan Lewis, Macklemore & Ryan Lewis - Can't Hold Us",28,79,"",1651,+555,0.192,"","",95,165,""
98,+129,Sia - Chandelier,1335,3,(x2),1642,+734,8.563,"","","","",""
99,-17,Kep1er - Shooting Star,2,82,"",1636,-86,0.003,"","","","",41
100,+36,Luke Combs - Fast Car,438,10,"",1629,+303,1.571,59,"","",37,""
101,+30,SANTA - Popcorn Salé,188,57,"",1614,+257,0.418,"","","","",""
102,+54,Vincent Gross - Aperol Spritz,12,48,"",1614,+398,0.025,"","",35,"",""
103,+68,The Red Clay Strays - Wondering Why,22,36,"",1583,+448,0.077,20,"","",155,""
104,+12,Imogen Heap - The Happy Song,2,104,"",1583,+150,0.004,55,97,"",53,""
105,-7,Alessandra Amoroso - Mezzo Rotto,5,98,"",1569,+15,0.007,"","","","",""
106,+48,Paul Russell - Lil Boo Thang,287,7,"",1564,+335,1.315,42,45,"","",""
107,NEW,Sakurazaka46 - Jigoujitoku,1,107,"",1563,+1563,0.002,"","","","",4
108,+41,Taylor Swift - Shake It Off,887,1,(x47),1557,+289,8.182,183,63,"","",""
109,-50,"Meduza, OneRepublic & Leony - Fire",26,28,"",1552,-557,0.052,"","",34,"",""
110,+31,SPYAIR - オレンジ,3,110,"",1552,+250,0.004,"","","","",26
111,-39,Laura Branigan - Gloria,11,52,"",1552,-324,0.135,137,54,"",55,""
112,-17,Lenny Kravitz - Human,10,69,"",1542,-58,0.028,"",174,75,"",""
113,-32,Royel Otis - Linger,4,48,"",1541,-243,0.008,51,"","",31,""
114,+95,Tom Odell - Another Love,511,21,"",1533,+559,2.233,"","","",90,""
115,+83,"Kara Marni - Wild, Young & Free",3,115,"",1532,+511,0.004,"",21,"","",""
116,-5,Udo Lindenberg & Apache 207 - Komet,498,26,"",1529,+63,1.361,"","",21,"",""
117,-57,Cooper Alan - Feel Like Hell Today,26,23,"",1529,-545,0.096,63,"","",44,""
118,+7,Jelly Roll - NEED A FAVOR,413,35,"",1529,+153,0.849,26,"","",147,""
119,+39,Adele - Someone Like You,2881,1,(x51),1512,+311,16.232,"","","","",""
120,-52,ZICO - SPOT,40,1,(x1),1506,-385,0.140,"","","","",""
121,+74,Daft Punk - Get Lucky,2011,1,(x68),1505,+483,10.542,"","","","",""
122,+59,Pierre Garnier - Ceux qu'on était,94,59,"",1488,+400,0.158,"","","","",""
123,+1,Snow Patrol - The Beginning,6,44,"",1480,+103,0.011,"",12,130,"",""
124,-23,milet - hanataba,50,56,"",1479,-59,0.072,"","","","",5
125,+50,Eminem - The Real Slim Shady,24,47,"",1475,+356,0.281,60,69,"",132,""
126,+93,Christina Perri - A Thousand Years,2117,17,"",1473,+545,7.159,170,"",155,"",""
127,-40,Mr Belt & Wezol - It's Not Right,95,30,"",1469,-193,0.177,"","",28,"",""
128,-40,Kygo & Zak Abel - For Life,34,28,"",1465,-182,0.065,"",33,"","",""
129,-27,"Kenshi Yonezu - Sayonara, Mata Itsuka - Sayonara",59,61,"",1453,-83,0.093,"","","","",8
130,-15,Zaho de Sagazan - Modern Love,12,44,"",1447,+8,0.025,"","","","",""
