Artist,Total,Today,1M,2M,3M,4M,5M
Liam Gallagher,"2,235,555",0,0,0,0,0,0
ANNA ASTI,"2,229,182","3,012",1,0,0,0,0
MAYOT,"2,211,755","3,569",1,0,0,0,0
DA Uzi,"2,200,395",0,0,0,0,0,0
MagicMotion,"2,177,958",951,1,1,0,0,0
JAY-Z,"2,169,257",0,1,1,0,0,0
Alonzo,"2,161,066",146,0,0,0,0,0
Marwa Loud,"2,160,951",0,1,0,0,0,0
Tate McRae,"2,151,834","2,047",1,0,0,0,0
Rag'n'Bone Man,"2,144,801",0,1,0,0,0,0
Nimo,"2,138,790",0,0,0,0,0,0
Ava Max,"2,137,636",0,1,0,0,0,0
Bonez MC,"2,133,957",0,1,0,0,0,0
Oasis,"2,126,032","2,653",0,0,0,0,0
Summer Cem,"2,124,047",225,1,0,0,0,0
Dark Polo Gang,"2,118,984",321,0,0,0,0,0
MERO,"2,091,342",0,0,0,0,0,0
Gorillaz,"2,090,581",0,0,0,0,0,0
Youngboy Never Broke Again,"2,087,579",20,0,0,0,0,0
Lil Pump,"2,085,415",0,1,0,0,0,0
Hozier,"2,057,953",891,0,0,0,0,0
Soolking,"2,042,048",0,0,0,0,0,0
Baby Gang,"2,030,472","2,964",0,0,0,0,0
AYLIVA,"2,028,942","1,871",1,0,0,0,0
Armin van Buuren,"2,014,431",228,0,0,0,0,0
"Lin-Manuel Miranda, Opetaia Foa'i, Mark Mancina & Auli'i Cravalho","2,011,868","1,504",1,1,0,0,0
Capo,"2,009,256",0,1,0,0,0,0
SALUKI,"2,002,649","1,407",0,0,0,0,0
Zkr,"2,001,527",734,0,0,0,0,0
Katy Perry,"2,000,523",62,1,0,0,0,0
Future & Metro Boomin,"2,000,259","14,905",1,0,0,0,0
Troye Sivan,"1,998,900","4,620",1,0,0,0,0
Karol G,"1,977,940","1,209",1,0,0,0,0
Frah Quintale,"1,977,595",0,0,0,0,0,0
Элджей,"1,968,636",0,0,0,0,0,0
London Grammar,"1,953,556",0,0,0,0,0,0
Scriptonite,"1,951,843",0,0,0,0,0,0
Jack Harlow,"1,946,979",0,0,0,0,0,0
JONY,"1,943,455","3,342",1,0,0,0,0
Vitaa & Slimane,"1,939,684",0,1,0,0,0,0
Hans Zimmer,"1,939,612",343,0,0,0,0,0
Tiziano Ferro,"1,934,078",0,0,0,0,0,0
Guè,"1,928,458",435,0,0,0,0,0
Kygo,"1,927,928",0,0,0,0,0,0
Kid Cudi,"1,923,915",0,1,0,0,0,0
Niall Horan,"1,913,639",0,0,0,0,0,0
Volbeat,"1,903,646",0,0,0,0,0,0
Instasamka,"1,901,435",0,0,0,0,0,0
MONATIK,"1,901,113",0,1,0,0,0,0
Einstein Baby Lullaby Academy,"1,899,325",0,1,0,0,0,0
Rauw Alejandro,"1,897,818",219,0,0,0,0,0
Blanco,"1,897,363",0,1,0,0,0,0
Vegedream,"1,875,850",0,0,0,0,0,0
Daft Punk,"1,875,192",123,1,0,0,0,0
Veysel,"1,873,245",0,1,0,0,0,0
Depeche Mode,"1,869,542",231,1,0,0,0,0
Kollegah & Farid Bang,"1,863,779",0,1,0,0,0,0
reezy,"1,853,687",142,0,0,0,0,0
BROCKHAMPTON,"1,850,056",0,0,0,0,0,0
Tame Impala,"1,847,429",135,1,0,0,0,0
Landy,"1,845,427",225,0,0,0,0,0
Madonna,"1,838,632",53,1,0,0,0,0
