Pos,P+,Artist and Title,Days,Pk,(x?),Pts,Pts+,TPts,UK,DE,FR,IT,RU
41,=,Baby Lullaby Academy - Baby Lullaby: Relaxing Piano Lullabies and Natural Sleep Aid for Baby Sleep Music,1524,16,"",4990,-125,6.573,9,127,"","",""
42,-6,"Benj Pasek & Justin Paul, Hugh Jackman - The Greatest Showman",673,2,(x1),4939,-460,4.518,25,37,"",146,""
43,-10,Beth Gibbons - Lives Outgrown,20,9,"",4793,-637,0.164,150,38,"","",""
44,-6,"RM - Right Place, Wrong Person",12,8,"",4780,-553,0.128,197,114,"","",9
45,+5,Chappell Roan - The Rise and Fall of a Midwest Princess,56,45,"",4777,+371,0.167,16,108,"",167,""
46,+2,Dardan & Azet - EUROSPORT,12,38,"",4695,+198,0.057,"",6,"","",""
47,-2,RK - DLPDA,5,43,"",4688,-46,0.024,"","",4,"",""
48,-2,Troye Sivan - Something To Give Each Other,151,3,(x7),4620,+33,1.217,84,91,115,101,""
49,+8,Hugo (TSR) - La Pluie,5,49,"",4359,+427,0.020,"","",9,"",""
50,-6,Olivia Rodrigo - SOUR,1083,1,(x38),4287,-512,9.127,69,41,"",140,""
51,+2,Kings of Leon - Can We Please Have Fun,31,6,"",4251,+160,0.301,24,92,"","",""
52,-1,THEODORT - Imad,12,37,"",4249,-60,0.058,"","",6,"",""
53,+2,Werenoi - Pyramide,110,22,"",4187,+135,0.562,"","",5,"",""
54,-5,Lena - Loyal to myself,5,45,"",4159,-262,0.024,"",5,"","",""
55,+3,Future & Metro Boomin - WE STILL DON'T TRUST YOU,54,1,(x7),4076,+169,0.697,60,87,98,118,""
56,-4,Travis Scott - ASTROWORLD,1781,1,(x12),4065,-170,14.775,158,69,164,58,90
57,+7,Beyoncé - RENAISSANCE,676,1,(x68),3933,+305,9.143,70,126,125,147,""
58,+8,Eminem - The Eminem Show,644,8,"",3908,+310,2.710,52,77,"","",59
59,=,HoodBlaq - XABAT,5,50,"",3875,-5,0.020,"",8,"","",""
60,+11,Lana Del Rey - Norman Fucking Rockwell,705,24,"",3782,+437,2.586,101,142,"",81,135
61,+4,Dadju & Tayc - HÉRITAGE,110,4,"",3780,+160,0.519,"","",7,"",""
62,+5,"Kendrick Lamar - good kid, m.A.A.d city",257,16,"",3761,+169,1.961,98,86,"",182,64
63,-9,Angelina Mango - poké melodrama,5,52,"",3759,-296,0.020,"","","",3,""
64,+6,Tyla - TYLA,85,5,"",3729,+349,0.771,49,141,119,"",""
65,-4,"David Guetta - Live At Hï Ibiza: Future Rave, Aug 25, 2023",4,50,"",3616,-214,0.015,47,"","",47,""
66,-4,SANTA - RECOMMENCE-MOI,12,44,"",3610,-161,0.052,"","",23,"",""
67,-4,Willie Nelson - The Border,5,41,"",3509,-208,0.021,"",81,"","",""
68,-8,SZA - SOS,546,1,(x6),3505,-367,4.302,59,"",111,173,""
69,NEW,Cigarettes After Sex - X's,1,69,"",3457,+3457,0.003,115,95,182,162,66
70,+3,Verschiedene Interpreten - Die 30 besten Schlaflieder für Kinder,1306,41,"",3423,+118,4.039,"",14,"","",""
71,+4,Pink Floyd - The Dark Side of the Moon,620,5,"",3285,+10,3.848,93,144,"",74,127
72,-4,Jimin - FACE - EP,133,1,(x1),3227,-298,0.731,"","","","",4
73,+5,Tedua - La Divina Commedia,369,49,"",3224,+27,0.885,"","","",1,""
74,+5,Timal - Darvaza - EP,19,35,"",3200,+6,0.081,"","",8,"",""
75,-1,JONY - Epic - EP,5,74,"",3186,-97,0.015,"","","","",2
76,+1,Baby Melo - Who Realer,5,70,"",3150,-109,0.016,"","","","",3
77,-21,Bad Omens - CONCRETE JUNGLE,5,34,"",3122,-837,0.021,79,62,"","",""
78,+12,Nirvana - Nevermind,407,13,"",3102,+251,2.449,82,88,"","",62
79,+8,Kanye West - Graduation,582,16,"",3090,+196,3.124,105,118,"",155,74
80,-8,Bob Marley & The Wailers - Legend – The Best Of Bob Marley & The Wailers,300,10,"",3043,-290,1.250,54,83,"","",""
81,+3,Vacra - Pygmalion,19,43,"",3042,+54,0.071,"","",16,"",""
82,+15,Teddy Swims - I've Tried Everything But Therapy,195,15,"",3007,+268,1.071,33,"","","",""
83,+10,Ultimo - ALTROVE,19,44,"",2994,+218,0.068,"","","",7,""
84,-8,Crowded House - Gravity Stairs,5,55,"",2988,-275,0.017,67,"","","",""
85,+6,Gazo & Tiakola - LA MELO EST GANGX,187,13,"",2972,+139,0.879,"","",14,"",""
86,-17,CANEY030 - BUTTERFLY,5,63,"",2964,-537,0.017,"",12,"","",""
87,-6,Roy Bianco & Die Abbrunzati Boys - Kult,5,81,"",2961,-104,0.033,"",7,"","",""
88,+8,"Billie Eilish - WHEN WE ALL FALL ASLEEP, WHERE DO WE GO",1341,1,(x69),2958,+195,15.010,163,100,160,165,124
89,-7,Capo Plaza - FERITE,33,31,"",2950,-41,0.128,"","","",6,""
90,+5,MadMan - LONEWOLF,5,79,"",2892,+126,0.015,"","","",2,""
91,-11,Arctic Monkeys - AM,2485,8,"",2888,-240,8.784,77,150,"",150,49
