Artist and Title,Wks,T10,Pk,(x?),PkStreams,Total
Męskie Granie Orkiestra 2018 - Początek,147,25,2,(x3),"491,887","31,884,025"
2115 - DRESSCODE,53,15,1,(x2),"1,444,397","31,629,701"
Żabson - Puerto Bounce,70,9,5,"","1,047,363","31,584,736"
Arctic Monkeys - Do I Wanna Know?,350,13,3,(x1),"315,879","31,540,806"
Blacha 2115 - Jolie Jolie,39,13,1,(x1),"1,806,737","31,470,074"
Oki - Sonic Skit,97,"",34,"","602,478","31,094,390"
Chivas - Mam Na Twarzy Krew I Tym Razem Nie Jest Sztuczna,84,1,10,"","662,598","30,882,938"
SB Maffija - A nie pamiętasz jak?,98,16,1,(x1),"692,934","30,610,092"
Tones And I - Dance Monkey,91,23,1,(x1),"858,924","30,542,078"
Mata - Kiss cam (podryw roku),15,15,1,(x10),"3,727,876","30,394,752"
ReTo - Billy Kid,64,23,1,(x5),"869,742","30,290,802"
Oki - Amerykańskie Teledyski,73,10,3,(x2),"1,188,227","30,142,862"
Kinny Zimmer - Rozmazana kreska,51,14,1,(x3),"1,912,391","29,961,611"
Tate McRae - greedy,37,8,5,"","1,142,871","29,727,198"
Oki - Worki W Tłum,73,8,2,(x3),"1,415,201","29,599,031"
Lord Huron - The Night We Met,155,"",26,"","514,961","29,587,014"
Mata - Patointeligencja,102,13,1,(x4),"1,275,637","28,840,603"
Young Leosia - Szklanki,75,10,1,(x3),"878,188","28,839,407"
ReTo - UA,167,1,10,"","279,330","28,785,777"
Harry Styles - Watermelon Sugar,110,11,4,"","601,863","28,735,809"
Young Leosia - Jungle Girl,50,8,1,(x1),"1,784,757","28,735,013"
Vixen - Ne Rozumiju,27,13,2,(x1),"1,593,830","28,623,414"
Ed Sheeran - Shape of You,137,34,1,(x18),"732,618","28,584,689"
White 2115 - 18,67,5,3,(x1),"1,891,003","28,147,547"
TACONAFIDE - Tamagotchi,124,16,1,(x11),"1,627,062","28,042,352"
SAINt JHN - Roses - Imanbek Remix,97,13,5,"","479,910","27,999,634"
Oki - JEREMY SOCHAN,36,10,1,(x2),"2,862,448","27,964,601"
ReTo - Fluid,35,10,2,(x7),"1,844,705","27,865,165"
Alberto - Dwutakt,80,5,8,"","481,515","27,805,349"
Zdechły Osa - Patolove,69,"",12,"","757,730","27,498,411"
Dawid Podsiadło - To co masz Ty!,54,6,3,(x1),"1,611,099","27,439,022"
Kizo - Nasze lato,71,7,5,"","926,121","27,417,273"
Miyo - Będzie Lepiej,116,"",11,"","409,363","27,284,154"
White 2115 - Oh oh (lalala),104,2,8,"","715,953","26,982,895"
Oki - Przypadkiem,75,8,4,"","1,040,472","26,820,703"
PRO8L3M - Nicea,39,8,1,(x1),"2,063,813","26,799,023"
Bedoes 2115 - Chłopaki nie płaczą,111,20,1,(x1),"501,590","26,448,426"
Białas - Drift,95,4,5,"","526,255","26,440,892"
