Artist,Total,Today,1M,2M,3M,4M,5M
ENHYPEN,"2,707,823","3,532",0,0,0,0,0
kizaru,"2,702,085",194,0,0,0,0,0
Red Hot Chili Peppers,"2,700,613",292,1,0,0,0,0
Katy Perry,"2,658,666",471,1,0,0,0,0
A$AP Rocky,"2,652,354",77,1,0,0,0,0
Luciano,"2,647,619",606,0,0,0,0,0
Jack Harlow,"2,646,870",0,1,0,0,0,0
Linda Beldad,"2,613,099","1,771",1,1,0,0,0
Booba,"2,582,805","1,240",0,0,0,0,0
Eladio Carrión,"2,572,840","1,506",0,0,0,0,0
Bonez MC & Raf Camora,"2,562,482",14,1,0,0,0,0
Cafe Music BGM channel,"2,558,872","1,975",0,0,0,0,0
Avicii,"2,556,850",0,2,0,0,0,0
"Lin-Manuel Miranda, Leslie Odom, Jr., Phillipa Soo, Daveed Diggs & Christopher Jackson","2,549,515","2,727",1,1,0,0,0
D-Block Europe,"2,543,898",278,0,0,0,0,0
五月天,"2,543,644",0,0,0,0,0,0
aespa,"2,523,713","11,198",0,0,0,0,0
Christian Nodal,"2,514,806",0,0,0,0,0,0
Nekfeu,"2,502,282",350,1,0,0,0,0
Ufo361,"2,491,168",0,0,0,0,0,0
Raf Camora,"2,474,452",53,0,0,0,0,0
Red Velvet,"2,465,431",32,0,0,0,0,0
Foo Fighters,"2,464,775",62,0,0,0,0,0
Kontra K,"2,458,164",528,0,0,0,0,0
검정치마,"2,446,868","1,524",1,0,0,0,0
Dadju,"2,435,654",222,2,0,0,0,0
Natanael Cano,"2,428,932","1,925",0,0,0,0,0
Myke Towers,"2,417,429",730,1,0,0,0,0
Niska,"2,395,092",43,0,0,0,0,0
Разные артисты,"2,392,154",85,0,0,0,0,0
Bryson Tiller,"2,388,871","1,209",0,0,0,0,0
Lazza,"2,384,650",581,0,0,0,0,0
Bring Me the Horizon,"2,378,296","16,434",0,0,0,0,0
Romeo Santos,"2,372,531",137,0,0,0,0,0
PLK,"2,366,286","1,021",0,0,0,0,0
Ado,"2,358,213","1,445",1,0,0,0,0
Hozier,"2,354,463","1,449",0,0,0,0,0
Tame Impala,"2,352,478",182,2,0,0,0,0
Stormzy,"2,347,674",0,1,0,0,0,0
OG Buda,"2,335,023","1,494",0,0,0,0,0
John Mayer,"2,334,322",33,1,0,0,0,0
Selena Gomez,"2,333,356",0,1,0,0,0,0
Bibi Blocksberg,"2,326,832",0,0,0,0,0,0
Noah Kahan,"2,307,536","4,074",1,1,0,0,0
Cast Of “Mamma Mia! Here We Go Again”,"2,295,837",0,1,1,0,0,0
G-Eazy,"2,282,145",0,1,0,0,0,0
J Balvin & Bad Bunny,"2,277,131",348,1,1,0,0,0
BROCKHAMPTON,"2,275,003",0,0,0,0,0,0
"Lorne Balfe, Harold Faltermeyer, Lady Gaga & Hans Zimmer","2,274,568",448,1,1,0,0,0
"Simone Sommerland, Karsten Glück & Die Kita-Frösche","2,241,939","1,574",1,0,0,0,0
백예린,"2,234,071",199,0,0,0,0,0
ITZY,"2,229,586",20,0,0,0,0,0
IU,"2,227,021","1,726",0,0,0,0,0
Angèle,"2,216,068",46,1,0,0,0,0
Mariah Carey,"2,209,398",146,1,0,0,0,0
JAY-Z,"2,206,714",0,1,1,0,0,0
Jah Khalib,"2,204,103",136,0,0,0,0,0
Rain Sounds,"2,199,037","2,644",1,0,0,0,0
"21 Savage, Offset & Metro Boomin","2,176,681",0,1,1,0,0,0
陳奕迅,"2,169,276",418,0,0,0,0,0
Naps,"2,155,292",0,0,0,0,0,0
Nirvana,"2,150,628","2,911",1,0,0,0,0
Bazzi,"2,135,228",0,1,0,0,0,0
Nas,"2,133,945",203,0,0,0,0,0
Bibi und Tina,"2,122,844",0,0,0,0,0,0
Kali Uchis,"2,118,836",368,0,0,0,0,0
Shindy,"2,116,251",90,1,0,0,0,0
Relaxing Piano,"2,116,171",102,0,0,0,0,0
One Direction,"2,092,436",133,0,0,0,0,0
Kygo,"2,081,376",0,0,0,0,0,0
Lil Wayne,"2,070,832",162,1,0,0,0,0
Tate McRae,"2,069,615","2,518",1,0,0,0,0
Tattoo Colour,"2,061,704","1,084",0,0,0,0,0
Vários intérpretes,"2,051,496",368,0,0,0,0,0
21 Savage & Metro Boomin,"2,047,622",195,1,0,0,0,0
J Hus,"2,045,299",126,0,0,0,0,0
Lomepal,"2,040,460",22,0,0,0,0,0
5 Seconds of Summer,"2,032,803",0,1,0,0,0,0
Moneybagg Yo,"2,007,345",0,0,0,0,0,0
Orelsan,"2,004,310",131,0,0,0,0,0
Daft Punk,"1,999,144",142,1,0,0,0,0
張敬軒,"1,998,757",224,0,0,0,0,0
Lil Tjay,"1,998,498",9,0,0,0,0,0
Amr Diab,"1,996,004",153,0,0,0,0,0
AC/DC,"1,989,865",829,0,0,0,0,0
Kid Cudi,"1,985,404",41,1,0,0,0,0
JUNG KOOK,"1,971,870","3,920",1,0,0,0,0
Sam Fender,"1,970,471",0,0,0,0,0,0
Marracash,"1,962,682",886,1,0,0,0,0
Dermot Kennedy,"1,962,678",19,1,0,0,0,0
防彈少年團,"1,955,016",0,0,0,0,0,0
Skryptonite,"1,954,152","1,773",0,0,0,0,0
Megan Thee Stallion,"1,953,042",0,0,0,0,0,0
YEAT,"1,951,667",724,0,0,0,0,0
Demi Lovato,"1,950,638",0,0,0,0,0,0
NAV,"1,945,192",0,0,0,0,0,0
Vaundy,"1,944,134",991,1,0,0,0,0
Gucci Mane,"1,943,782",0,0,0,0,0,0
TKKG,"1,936,605",0,0,0,0,0,0
Future & Metro Boomin,"1,919,909","15,568",1,0,0,0,0
Salmo,"1,913,537",39,0,0,0,0,0
Original Broadway Cast of Hamilton,"1,907,886",0,1,0,0,0,0
TREASURE,"1,905,009",276,0,0,0,0,0
Макс Корж,"1,903,640",0,0,0,0,0,0
Wanna One,"1,898,170",0,0,0,0,0,0
Anirudh Ravichander,"1,897,044","1,789",0,0,0,0,0
Niall Horan,"1,880,314",0,0,0,0,0,0
Justin Timberlake,"1,872,414",311,1,0,0,0,0
Hillsong Worship,"1,868,241",68,0,0,0,0,0
Jorja Smith,"1,865,052",0,1,0,0,0,0
Bruce Springsteen,"1,861,871",307,0,0,0,0,0
Sabrina Carpenter,"1,859,855","3,069",0,0,0,0,0
Zivert,"1,858,936",687,0,0,0,0,0
U2,"1,853,601",318,1,0,0,0,0
Russ,"1,849,519",0,0,0,0,0,0
TOOL,"1,834,594",543,1,0,0,0,0
C. Tangana,"1,833,584",497,1,0,0,0,0
ヨルシカ,"1,823,651",86,0,0,0,0,0
Hamza,"1,823,341",637,0,0,0,0,0
Verschillende artiesten,"1,821,679",31,0,0,0,0,0
Пошлая Молли,"1,811,780",230,0,0,0,0,0
Pinguini Tattici Nucleari,"1,811,286",515,0,0,0,0,0
Sech,"1,806,896",0,0,0,0,0,0
Central Cee,"1,795,405",0,0,0,0,0,0
방탄소년단,"1,790,898",0,0,0,0,0,0
Lacrim,"1,781,262",476,0,0,0,0,0
Artik & Asti,"1,776,939",511,0,0,0,0,0
Gorillaz,"1,769,609",9,0,0,0,0,0
자장가,"1,765,283",373,1,0,0,0,0
HONNE,"1,761,641",0,0,0,0,0,0
Jhené Aiko,"1,758,399",111,0,0,0,0,0
Lil Skies,"1,744,390",0,1,0,0,0,0
Florence + The Machine,"1,734,418",0,0,0,0,0,0
back number,"1,731,620",350,0,0,0,0,0
GIVĒON,"1,731,215",113,0,0,0,0,0
Tedua,"1,727,852","1,533",0,0,0,0,0
Kehlani,"1,715,602",0,0,0,0,0,0
Tayc,"1,712,284",0,0,0,0,0,0
Scriptonite,"1,696,323",0,0,0,0,0,0
GOT7,"1,696,104",0,0,0,0,0,0
Artisti Vari,"1,691,183",110,0,0,0,0,0
Boulevard Depo,"1,684,405",142,0,0,0,0,0
RIN,"1,674,844",0,0,0,0,0,0
H.E.R.,"1,670,761",0,0,0,0,0,0
IZ*ONE,"1,654,995",0,0,0,0,0,0
Muse,"1,653,997",0,0,0,0,0,0
iKON,"1,651,458",0,0,0,0,0,0
Kylie Minogue,"1,649,768",0,0,0,0,0,0
Chris Stapleton,"1,645,191",539,0,0,0,0,0
Kevin Gates,"1,640,515",111,0,0,0,0,0
Kinder Lieder,"1,640,185","1,566",1,0,0,0,0
ЛСП,"1,628,609",261,0,0,0,0,0
Shankar-Ehsaan-Loy,"1,628,079",0,0,0,0,0,0
Gemitaiz,"1,622,111",316,0,0,0,0,0
米津玄師,"1,621,603",659,1,0,0,0,0
Sidhu Moose Wala,"1,621,143",298,0,0,0,0,0
Lil Yachty,"1,618,676",31,0,0,0,0,0
Zoé,"1,610,423",272,1,0,0,0,0
Charli XCX,"1,609,009","6,956",0,0,0,0,0
Panic! At the Disco,"1,602,010",0,1,0,0,0,0
Multi-interprètes,"1,599,996",46,0,0,0,0,0
Capo Plaza,"1,594,066","1,548",0,0,0,0,0
Nipsey Hussle,"1,592,780",0,1,0,0,0,0
乃木坂46,"1,589,167",0,0,0,0,0,0
Liam Gallagher,"1,582,276",0,0,0,0,0,0
Oasis,"1,578,096","1,705",0,0,0,0,0
ATL,"1,574,423",129,0,0,0,0,0
blink-182,"1,569,261",230,1,0,0,0,0
Tarkan,"1,567,426",178,0,0,0,0,0
PARTYNEXTDOOR,"1,566,668","6,106",0,0,0,0,0
Sido,"1,565,446",169,0,0,0,0,0
SDM,"1,565,413",412,0,0,0,0,0
Norah Jones,"1,564,612",108,0,0,0,0,0
Asake,"1,557,881",549,0,0,0,0,0
Fujii Kaze,"1,557,356","3,275",0,0,0,0,0
"¥$, Kanye West & Ty Dolla $ign","1,555,988","4,168",1,0,0,0,0
Gazo,"1,555,754",351,0,0,0,0,0
MORGENSHTERN,"1,554,991",0,0,0,0,0,0
Alejandro Fernández,"1,554,951",239,0,0,0,0,0
Werenoi,"1,551,434","2,897",0,0,0,0,0
SleepTherapy,"1,548,073","3,382",1,0,0,0,0
Gerry Cinnamon,"1,544,693",0,1,0,0,0,0
The Carters,"1,539,815",0,1,0,0,0,0
Rkomi,"1,539,167",0,0,0,0,0,0
Ava Max,"1,535,240",0,0,0,0,0,0
Camilo,"1,530,448","1,260",0,0,0,0,0
(G)I-DLE,"1,529,080",247,0,0,0,0,0
Offset,"1,515,501",0,1,0,0,0,0
Big Baby Tape,"1,509,239",864,0,0,0,0,0
Kacey Musgraves,"1,508,406",304,0,0,0,0,0
50 Cent,"1,507,010",738,0,0,0,0,0
동요,"1,505,638",282,1,0,0,0,0
Koba laD,"1,503,314",0,0,0,0,0,0
Cro,"1,502,841",0,0,0,0,0,0
