Artist,Total,Today,1M,2M,3M,4M,5M
Céline Dion,"2,763,494",457,0,0,0,0,0
Emeli Sandé,"2,755,703",0,1,0,0,0,0
Ofenbach & Nick Waterhouse,"2,738,584",101,1,1,0,0,0
Nico Santos,"2,716,896",0,0,0,0,0,0
Florence + The Machine,"2,709,810",0,0,0,0,0,0
Vitaa & Slimane,"2,702,484",0,1,0,0,0,0
A Great Big World,"2,694,845",134,1,1,0,0,0
Kings of Leon,"2,694,354",222,1,0,0,0,0
Charli XCX,"2,687,472",296,1,0,0,0,0
Tom Grennan,"2,686,757",0,1,0,0,0,0
Max Giesinger,"2,662,670",0,0,0,0,0,0
Alessandra Amoroso,"2,647,967","3,702",0,0,0,0,0
Jay Z,"2,639,830",0,1,0,0,0,0
Benson Boone,"2,638,016","16,311",1,0,0,0,0
Kylie Minogue,"2,625,784",54,0,0,0,0,0
Purple Disco Machine,"2,602,048",0,1,0,0,0,0
Dadju,"2,596,055",0,0,0,0,0,0
Volbeat,"2,591,736",0,1,0,0,0,0
Halsey,"2,590,893","1,194",1,0,0,0,0
The Lumineers,"2,581,162",0,1,1,0,0,0
MIKA,"2,575,885",0,0,0,0,0,0
Andreas Bourani,"2,574,514",0,1,0,0,0,0
Pascal Letoublon,"2,561,513",0,1,1,0,0,0
Ella Henderson,"2,558,362","1,655",1,0,0,0,0
Мот,"2,551,952",178,0,0,0,0,0
Francesco Gabbani,"2,545,170","1,087",0,0,0,0,0
Kensington,"2,535,650",0,0,0,0,0,0
Тима Белорусских,"2,532,277",0,0,0,0,0,0
Minelli,"2,529,609","1,927",1,1,0,0,0
Klangkarussell,"2,524,753",0,1,0,0,0,0
Pedro Capó & Farruko,"2,476,974",40,1,1,0,0,0
The Killers,"2,475,704",102,0,0,0,0,0
Баста,"2,474,236",745,1,0,0,0,0
Cesare Cremonini,"2,471,349","1,368",0,0,0,0,0
French Montana,"2,462,269",0,1,1,0,0,0
Nathan Evans,"2,459,408","1,090",1,1,0,0,0
Liam Payne & Rita Ora,"2,449,924",0,1,1,0,0,0
Capital Bra,"2,443,165",0,0,0,0,0,0
J Balvin,"2,430,482",0,0,0,0,0,0
Stormzy,"2,423,443",0,0,0,0,0,0
Dennis Lloyd,"2,421,612",543,1,1,0,0,0
Capital Cities,"2,420,423",121,1,1,0,0,0
Kygo & Whitney Houston,"2,417,803",0,1,1,0,0,0
P!nk & Willow Sage Hart,"2,417,318",0,1,1,0,0,0
Miyagi & Andy Panda,"2,407,471",619,0,0,0,0,0
Dvbbs & Borgeous,"2,403,800",0,1,1,0,0,0
Elley Duhé,"2,397,636","1,726",1,1,0,0,0
Fred De Palma,"2,391,953",0,0,0,0,0,0
Marcus & Martinus,"2,389,165",366,0,0,0,0,0
Labrinth,"2,373,817",611,1,0,0,0,0
ZAYN & Taylor Swift,"2,373,183",0,1,1,0,0,0
Willy William,"2,364,412",0,1,0,0,0,0
Achille Lauro,"2,362,695",0,0,0,0,0,0
Glass Animals,"2,357,253",555,1,1,0,0,0
WALK THE MOON,"2,356,463",180,1,1,0,0,0
Kate Bush,"2,352,508",0,1,0,0,0,0
Sam Smith & Kim Petras,"2,339,983",525,1,1,0,0,0
Rosa Linn,"2,339,491",0,1,1,0,0,0
André Hazes Jr.,"2,337,130",0,1,0,0,0,0
Pizzera & Jaus,"2,329,020",0,0,0,0,0,0
twocolors,"2,324,385",0,1,0,0,0,0
Masked Wolf,"2,292,432",326,1,1,0,0,0
Manuel Carrasco,"2,285,844",798,1,0,0,0,0
J-AX,"2,284,155",0,0,0,0,0,0
Shouse,"2,282,393",0,1,1,0,0,0
Inna,"2,270,422",264,0,0,0,0,0
J Balvin & Willy William,"2,266,197",0,1,1,0,0,0
R. City,"2,261,808",0,1,1,0,0,0
GAYAZOV$ BROTHER$,"2,253,270",239,0,0,0,0,0
J-AX & Fedez,"2,252,067",0,0,0,0,0,0
Ligabue,"2,238,246",142,0,0,0,0,0
M. Pokora,"2,235,224",0,0,0,0,0,0
Vitaa,"2,231,747",0,0,0,0,0,0
Julia Michaels,"2,225,652",0,1,0,0,0,0
Britney Spears,"2,222,906",0,1,0,0,0,0
LMFAO,"2,219,161",0,1,0,0,0,0
Coez,"2,206,706",0,0,0,0,0,0
Timati,"2,206,186",0,0,0,0,0,0
Suzan & Freek,"2,205,416",633,0,0,0,0,0
Deorro,"2,203,366",0,1,0,0,0,0
Dotan,"2,203,112",0,0,0,0,0,0
Marshmello,"2,197,967",0,1,0,0,0,0
Martin Solveig,"2,196,016",0,0,0,0,0,0
Sunrise Avenue,"2,193,553",0,0,0,0,0,0
Takagi & Ketra,"2,193,294",0,0,0,0,0,0
Keala Settle & The Greatest Showman Ensemble,"2,191,658",339,1,1,0,0,0
Billie Eilish & Khalid,"2,187,165",244,1,1,0,0,0
Carla's Dreams,"2,171,207",93,0,0,0,0,0
Cassette,"2,166,730","1,725",1,1,0,0,0
