Artist and Title,Days,Pk,(x?),Total,Today
Riton & Nightcrawlers - Friday,308,1,(x23),"3,142,914",0
Icona Pop - I Love It,250,8,"","3,122,399",673
Joel Corry - Head & Heart,434,2,(x8),"3,106,763",0
Kygo & Selena Gomez - It Ain't Me,233,2,(x2),"3,103,056",0
Jason Derülo - Talk Dirty,259,4,"","3,079,227",0
Charlie Puth - Attention,298,3,(x3),"3,067,366",0
Justin Wellington - Iko Iko,281,1,(x14),"3,062,271",0
Måneskin - Beggin,349,2,(x41),"3,053,105",0
twenty one pilots - Heathens,275,4,"","3,050,062",85
Ed Sheeran - Castle on the Hill,377,2,(x5),"3,039,293",0
Lewis Capaldi - Before You Go,432,4,"","3,034,272",0
Shakira - Waka Waka,343,22,"","3,024,719",304
Purple Disco Machine & Sophie and the Giants - Hypnotized,483,5,"","3,005,182",0
P!nk - TRUSTFALL,387,2,(x23),"2,996,651",441
surf mesa - Ily,359,1,(x11),"2,996,135",207
Naughty Boy - Runnin',318,4,"","2,992,790",0
Coldplay - Viva la Vida,544,6,"","2,973,230","3,295"
Alice Merton - No Roots,535,21,"","2,965,314",0
Bruno Mars - When I Was Your Man,255,6,"","2,955,822",625
Asaf Avidan & The Mojos - One Day / Reckoning Song,232,27,"","2,939,514",0
Calvin Harris - Feels,233,2,(x20),"2,935,001",0
Teddy Swims - Lose Control,300,1,(x3),"2,916,011","13,126"
The Chainsmokers - Closer,266,2,(x2),"2,914,202",51
Sam Smith - I'm Not the Only One,296,7,"","2,907,583",0
Dua Lipa - Physical,313,3,(x15),"2,902,242",0
Bruno Mars - 24K Magic,264,3,(x1),"2,894,889",0
Bruno Mars - Locked Out of Heaven,253,18,"","2,894,671",58
Mark Ronson - Nothing Breaks Like a Heart,264,1,(x2),"2,876,874",0
AC/DC - Thunderstruck,309,41,"","2,873,030","2,434"
Clean Bandit - Symphony,281,5,"","2,827,333",0
Zara Larsson - Lush Life,401,16,"","2,826,867",0
Ava Max - Kings & Queens,353,3,(x6),"2,821,965",0
The Kid LAROI & Justin Bieber - Stay,312,2,(x9),"2,813,750",0
Kiesza - Hideaway,259,5,"","2,789,610",0
One Direction - Story Of My Life,200,1,(x1),"2,787,241",341
Imagine Dragons - Whatever It Takes,321,8,"","2,775,696",0
Ed Sheeran - Galway Girl,357,11,"","2,772,672",0
Ofenbach & Nick Waterhouse - Katchi,334,10,"","2,738,584",101
Pitbull - Feel This Moment,174,6,"","2,735,605",355
Adele - Easy On Me,201,1,(x9),"2,733,403",0
The Chainsmokers - Don't Let Me Down,237,5,"","2,704,333",0
Daddy Yankee - Con Calma,267,3,(x1),"2,690,058",768
Rag'n'Bone Man - Skin,323,6,"","2,672,227",0
Jonas Blue - Fast Car,231,2,(x1),"2,659,801",0
Jax Jones - You Don't Know Me,231,4,"","2,653,779",0
Rudimental - These Days,253,1,(x13),"2,651,919",0
Charlie Puth - Marvin Gaye,292,7,"","2,633,455",0
The Weeknd - In Your Eyes,400,5,"","2,625,054",0
OneRepublic - I Ain't Worried,468,4,"","2,617,149","1,938"
Imagine Dragons - Bad Liar,360,7,"","2,613,971",103
Carly Rae Jepsen - Call Me Maybe,176,30,"","2,606,944",0
Alvaro Soler - Sofia,334,10,"","2,587,941",0
A Great Big World & Christina Aguilera - Say Something,254,15,"","2,581,917",134
