Pos,P+,Artist and Title,Days,Pk,(x?),Pts,Pts+,TPts,UK,DE,FR,IT,RU
69,+2,"Future, Metro Boomin & Kendrick Lamar - Like That",64,3,(x4),3257,+260,0.483,91,120,"","",""
70,+10,"Future, Metro Boomin, Travis Scott & Playboi Carti - Type Shit",59,6,"",3227,+392,0.319,"",60,"","",""
71,-3,SCH - Beaux-arts,5,66,"",3163,+9,0.015,"","",12,"",""
72,-3,Monetochka - Селфхарм,9,67,"",3124,+5,0.027,"","","","",1
73,+15,Travis Scott - FEN,231,2,(x4),3054,+350,1.151,"",81,"",198,""
74,+4,Tony Effe & GAIA - SESSO E SAMBA,12,74,"",2994,+108,0.030,"","","",1,""
75,=,Teddy Swims - The Door,19,69,"",2985,+60,0.104,20,"",186,"",""
76,-4,Kygo & Ava Max - Whatever,137,20,"",2984,-7,0.657,73,53,118,"",""
77,=,Гио ПиКа & MIRAVI - Мир,43,76,"",2932,+40,0.111,"","","","",2
78,-4,SCH - Quoi,5,72,"",2903,-37,0.014,"","",14,"",""
79,-3,Leto - Tout gâché,5,76,"",2873,-22,0.013,"","",13,"",""
80,-1,SCH - Balafres,5,76,"",2848,+10,0.014,"","",15,"",""
81,+3,THEODORT - Wayeh,23,60,"",2827,+63,0.073,"","",16,"",""
82,=,"Rvssian, Rauw Alejandro & Ayra Starr - Santa",42,73,"",2814,+20,0.120,"","","",41,""
83,=,Franglish - Position,104,42,"",2805,+15,0.371,"","",18,"",""
84,-3,Wallem - Харизма,82,66,"",2798,-20,0.239,"","","","",3
85,-12,Udo Lindenberg & Apache 207 - Komet,499,25,"",2775,-188,2.257,"",20,"","",""
86,-1,Fedez & Emis Killa - SEXY SHOP,5,85,"",2760,0,0.013,"","","",2,""
87,=,SCH - Gris,5,85,"",2737,+10,0.013,"","",17,"",""
88,+6,Taylor Swift - The Smallest Man Who Ever Lived,47,15,"",2702,+113,0.263,46,148,"","",""
89,+2,"$OHO BANI, Herbert Groenemeyer & Ericson - ZEIT, DASS SICH WAS DREHT",98,44,"",2689,+40,0.298,"",11,"","",""
90,-4,"SDP, Sido & Esther Graf - Mama hat gesagt",32,84,"",2684,-53,0.072,"",15,"","",""
91,-2,"Jungeli, Imen Es & Alonzo - Petit génie",306,26,"",2668,-28,1.241,"","",26,"",""
