"","",Video,#,Highlights
123,-3,RELJA - ZA TOBOM LUD (OFFICIAL VIDEO),6,"#5 Serbia, #7 Bosnia and Herzegovina, #4 Croatia"
124,-3,BRESKVICA - NA NJENIM RUKAMA (Generacija Zed 2024),6,"#6 Serbia, #6 Bosnia and Herzegovina, #8 Croatia"
125,-20,BUTRINT IMERI - PSIKOPAT,9,"#13 Greece, #6 Belgium, #2 Switzerland"
126,-1,AZET & DARDAN - BEBE (OFFICIAL VIDEO),3,"#8 Germany, #14 Switzerland, #16 Austria"
127,+1,HILJSON MANDELA X BIBA - ANKARAN (OFFICIAL VIDEO),5,"#7 Serbia, #14 Bosnia and Herzegovina, #2 Croatia"
128,-2,DJ Gimi-O x Kenan - KA JE [Official Video],3,"#10 Germany, #9 Switzerland, #15 Austria"
129,-7,DRAKE - FAMILY MATTERS,13,"#19 South Africa, #26 Georgia, #11 Ireland"
130,-3,MC STOJAN X ZORANA MICANOVIC - NAMERNO (OFFICIAL VIDEO),6,"#17 Serbia, #11 Bosnia and Herzegovina, #10 Croatia"
131,-2,عالم العشاق,5,"#25 Saudi Arabia, #18 Jordan, #7 Kuwait"
132,-9,"WYA REMIX RED 🔴 - (Video Oficial) J Abdiel, De La Rose, Yan Block, Jay Wheeler, IZaak",6,"#19 Honduras, #6 El Salvador, #16 Costa Rica"
133,+1,"Teodora - Čuka (Album ""Žena bez adrese"")",4,"#8 Serbia, #12 Bosnia and Herzegovina, #13 Croatia"
134,-2,Regalo de Dios,4,"#18 Guatemala, #27 Honduras, #18 El Salvador"
135,-4,Aco Pejovic - Soba 501 (Official Video 2024),5,"#14 Serbia, #8 Bosnia and Herzegovina, #15 Croatia"
136,=,SAJFER X JALA BRAT X BUBA CORELLI - 7ICE (Anima Part One),5,"#19 Serbia, #4 Bosnia and Herzegovina, #11 Croatia"
137,-2,ايهاب القواسمي - بحبك(قلبي بصدري بطق طق) | Ehab Qawasmi - Ba7ebk (Official Video Clip),3,"#29 Israel, #29 Jordan, #17 Lebanon"
138,-1,RELJA X ĐANA - 12xJANUAR (OFFICIAL VIDEO),5,"#9 Serbia, #24 Bosnia and Herzegovina, #12 Croatia"
139,-6,CHIHIRO,3,"#24 Ukraine, #30 Australia, #23 New Zealand"
140,-1,"Teodora ft. Devito - Cinema (Album ""Žena bez adrese"")",5,"#11 Serbia, #22 Bosnia and Herzegovina, #19 Croatia"
141,-3,"Teodora - Aya Sofya (Album ""Žena bez adrese"")",4,"#10 Serbia, #17 Bosnia and Herzegovina, #23 Croatia"
142,-1,"Teodora - Bruka (Album ""Žena bez adrese"")",4,"#15 Serbia, #19 Bosnia and Herzegovina, #29 Croatia"
143,-1,A.L.A - Souvenir (Official Music Video),3,"#5 Tunisia, #15 Libya, #28 Qatar"
144,-1,VTEN - READY MAA (OFFICIAL MUSIC VIDEO ) FT. @bobbybeatz9120,3,"#4 Nepal, #23 Kuwait, #8 Qatar"
145,-1,BARBARA BOBAK - SKOTINA (OFFICIAL VIDEO),4,"#18 Serbia, #10 Bosnia and Herzegovina, #21 Croatia"
146,-6,Davido - KANTE (Official Video) ft. Fave,6,"#19 Kenya, #11 Nigeria, #5 Uganda"
147,-1,BARBARA BOBAK - HAOS (OFFICIAL VIDEO),4,"#20 Serbia, #9 Bosnia and Herzegovina, #24 Croatia"
148,-3,LO QUE VIVIÓ MAMÁ - OMAR GELES (Video Oficial),3,"#29 Ecuador, #8 Nicaragua, #13 Panama"
149,-2,MILICA PAVLOVIC - ONA NOSI PRADU (OFFICIAL VIDEO) EP,3,"#16 Serbia, #15 Bosnia and Herzegovina, #17 Croatia"
