Artist and Title,Days,Pk,(x?),Total,Today
Adele - Oh My God,151,2,(x8),"1,239,557",0
Скриптонит - Положение,294,103,"","1,238,264",0
Tiakola - Meuda,297,46,"","1,237,680",281
ANNA ASTI - Феникс,323,53,"","1,235,958",415
Avicii - Wake Me Up,71,3,(x1),"1,233,482",100
Meghan Trainor - Made You Look,193,9,"","1,232,817",0
Люся Чеботина - СОЛНЦЕ МОНАКО,335,57,"","1,229,643",382
Keala Settle & The Greatest Showman Ensemble - This Is Me,292,36,"","1,227,636",0
Macklemore - Glorious,218,19,"","1,225,630",0
Taylor Swift - Lover,271,8,"","1,225,409","1,842"
Nea - Some Say,242,35,"","1,223,281",0
Ed Sheeran - Afterglow,144,3,(x2),"1,220,982",0
Manuel Turizo - La Bachata,366,55,"","1,219,379",782
The Weeknd & Madonna - Popular,184,5,"","1,218,880",0
Jason Derülo - Acapulco,317,24,"","1,213,676",0
Drake - Money In The Grave,161,4,"","1,213,622",0
Robin Schulz - All We Got,245,21,"","1,212,699",0
Montez - Auf & Ab,278,34,"","1,209,546",160
Luciano & Aitch - Bamba,275,21,"","1,206,545",189
Cardi B - Bodak Yellow,244,26,"","1,205,462",0
Gunna - fukumean,155,10,"","1,199,681",0
Liam Payne - Strip That Down,168,23,"","1,197,687",0
Meek Mill - Going Bad,195,16,"","1,194,309",0
"Anuel AA, Daddy Yankee & Karol G - China",232,21,"","1,193,598",425
Chris Brown - No Guidance,168,14,"","1,193,413",0
Sophie Ellis-Bextor - Murder on the Dancefloor,152,2,(x1),"1,191,354","1,687"
Ariana Grande - breathin,172,5,"","1,190,458",0
Kalash - Mwaka Moon,328,40,"","1,187,725",0
Ava Max - Salt,273,35,"","1,186,433",0
P!nk & Willow Sage Hart - Cover Me In Sunshine,212,21,"","1,180,095",0
Shouse - Love Tonight,200,14,"","1,175,382",0
Meduza & Goodboys - Piece Of Your Heart,277,24,"","1,174,991",0
BRANYA & MACAN - Пополам,158,55,"","1,170,710",148
Eminem - Without Me,258,38,"","1,168,067","3,523"
Ed Sheeran - Cross Me,126,6,"","1,167,085",0
XXXTENTACION - Changes,196,5,"","1,166,792",0
Alvaro Soler - La Cintura,197,26,"","1,165,337",0
Brenda Lee - Rockin' Around the Christmas Tree,186,7,"","1,164,678",0
BENEE - Supalonely,164,16,"","1,160,452",0
DJ Khaled - POPSTAR,154,8,"","1,158,060",0
"Silk City, Dua Lipa - Electricity",169,12,"","1,154,947",0
ROSALÍA - LA FAMA,294,20,"","1,154,039",0
Travis Scott - FEN,231,2,(x4),"1,151,311","3,054"
Angèle - Balance ton quoi,308,51,"","1,148,937",0
Billie Eilish - No Time To Die,131,2,(x2),"1,148,242",0
Angèle - Tout oublier,265,52,"","1,148,063",0
Imanbek & BYOR - Belly Dancer,272,21,"","1,144,181",0
MiyaGi - Captain,117,92,"","1,139,141",0
Tate McRae - she's all i wanna be,220,13,"","1,138,018",0
ROSALÍA & Travis Scott - TKN,147,9,"","1,137,869",0
Artemas - i like the way you kiss me,77,2,(x7),"1,136,969","14,547"
Dean Martin - Let It Snow Let It Snow Let It Snow,170,8,"","1,134,543",0
Shawn Mendes - If I Can't Have You,117,3,(x5),"1,134,077",0
Тима Белорусских - Мокрые кроссы,307,71,"","1,130,972",0
Becky Hill & David Guetta - Remember,224,22,"","1,130,345",0
Pop Smoke - The Woo,140,7,"","1,128,246",0
Enrique Iglesias - SÚBEME LA RADIO,132,15,"","1,125,605",0
Ed Sheeran - Happier,253,50,"","1,123,999",0
XXXTENTACION - Jocelyn Flores,212,3,(x1),"1,123,914",0
