Artist and Title,Days,T10,Pk,(x?),PkStreams,Total
French Montana - No Shopping,81,"",105,"","460,796","29,068,997"
Lazza - CENERE,17,"",29,"","2,263,531","29,065,532"
Drake - Summer Games,22,"",17,"","4,249,825","29,064,130"
"Ram Sampath - Sajni (From ""Laapataa Ladies"")",19,"",85,"","1,620,639","29,051,635"
Travis Scott - STOP TRYING TO BE GOD,28,1,10,"","3,887,156","29,028,703"
Amenazzy - Baby,43,"",152,"","765,378","29,010,937"
Martin Garrix - Used To Love,34,"",61,"","1,230,533","29,009,903"
Taylor Swift - betty,21,"",17,"","3,835,696","28,962,095"
Eminem - Normal,22,"",15,"","3,050,423","28,949,634"
Charli XCX - Boom Clap,115,"",31,"","518,530","28,920,805"
Drake - Sandra’s Rose,20,"",14,"","4,964,551","28,917,178"
NOTD - So Close,39,"",125,"","923,573","28,905,636"
Capital Bra - Tilidin,27,"",26,"","2,067,813","28,903,609"
AWOLNATION - Sail,153,"",93,"","257,400","28,893,955"
BTS - Fly To My Room,18,1,8,"","4,568,625","28,887,843"
Echosmith - Bright,113,"",77,"","394,348","28,861,004"
Avicii - Broken Arrows,74,"",40,"","1,973,843","28,853,839"
99 Souls - The Girl Is Mine feat. Destiny's Child & Brandy,95,"",100,"","398,957","28,853,741"
Benson Boone - Cry,21,"",105,"","1,658,799","28,820,287"
ITZY - LOCO,32,"",81,"","1,060,412","28,815,789"
Drake - 4422,26,"",21,"","2,815,955","28,797,646"
Bad Bunny - CYBERTRUCK,14,1,8,"","7,301,367","28,743,249"
Taylor Swift - All You Had To Do Was Stay (Taylor's Version),11,1,10,"","7,964,569","28,729,818"
Future - First Off,28,"",27,"","1,943,504","28,728,227"
Justin Bieber - Get Me,24,"",24,"","2,302,328","28,682,642"
Smiley - Over The Top,31,"",56,"","1,376,192","28,679,201"
Ty Dolla $ign - Ego Death,34,"",61,"","1,535,232","28,643,680"
Kendrick Lamar - Big Shot,33,"",35,"","1,683,872","28,625,633"
Polo G - GANG GANG,29,"",55,"","1,702,428","28,599,771"
Tones And I - Fly Away,39,"",155,"","835,421","28,593,860"
RealestK - WFM,30,"",70,"","1,191,146","28,582,136"
Shawn Mendes - Like To Be You feat. Julia Michaels,41,"",55,"","1,402,901","28,575,246"
Lil Pump - Butterfly Doors,32,"",58,"","1,280,700","28,566,176"
Drake - Blue Tint,22,"",27,"","3,469,428","28,543,636"
Mari Fernandez - Parada Louca,31,"",40,"","1,415,338","28,522,243"
Sabrina Carpenter - Why,57,"",138,"","573,028","28,517,270"
Kanye West - Fade,82,"",83,"","516,491","28,489,397"
The Weeknd - How Do I Make You Love Me?,16,2,4,"","4,765,039","28,477,327"
Troye Sivan - Dance To This,40,"",46,"","1,340,962","28,476,953"
Travis Scott - SIRENS,12,1,9,"","7,019,087","28,465,120"
Ty Dolla $ign - Saved,94,"",110,"","435,231","28,401,905"
Drake - Feel No Ways,63,"",55,"","863,076","28,393,743"
Thomas Rhett - Unforgettable,52,"",99,"","741,528","28,365,053"
sped up 8282 - Cupid – Twin Ver. (FIFTY FIFTY) – Sped Up Version,23,"",98,"","1,430,531","28,354,455"
Ella Fitzgerald - Frosty The Snowman,17,"",70,"","2,884,214","28,329,399"
James Newton Howard - The Hanging Tree,81,"",29,"","589,445","28,328,565"
YoungBoy Never Broke Again - Make No Sense,41,"",136,"","802,786","28,324,633"
Mora - DONDE SE APRENDE A QUERER?,19,"",11,"","2,962,306","28,244,511"
Taylor Swift - Peter,13,"",36,"","4,503,638","28,216,554"
Jungle - Back On 74,22,"",129,"","1,402,981","28,196,085"
J. Cole - 1985 - Intro to “The Fall Off”,21,"",14,"","3,748,887","28,189,429"
LE SSERAFIM - FEARLESS,32,"",132,"","971,118","28,188,808"
Ariana Grande - imperfect for you,14,"",28,"","3,286,916","28,179,306"
ITZY - WANNABE,36,"",95,"","1,015,590","28,120,896"
Yahritza Y Su Esencia - Soy El Unico,31,"",73,"","1,111,287","28,110,049"
Eladio Carrion - Si La Calle Llama - Remix,21,"",64,"","1,903,955","28,075,943"
Shawn Mendes - Lost In Japan - Remix,41,"",89,"","1,108,012","28,020,450"
ZAYN - Vibez,28,"",36,"","1,792,164","28,010,241"
Taylor Swift - I Look in People's Windows,12,"",33,"","5,077,082","27,988,838"
Imagine Dragons - Enemy - from the series Arcane League of Legends,36,"",154,"","829,252","27,978,657"
BTS - ON (Feat. Sia),21,"",24,"","2,444,125","27,934,589"
Lil Wayne - Let It Fly,21,1,4,"","4,517,656","27,889,593"
Ty Dolla $ign - Spicy,28,"",25,"","2,155,899","27,874,770"
Beyoncé - JOLENE,12,1,8,"","5,075,802","27,863,084"
J Balvin - Otra Noche Sin Ti,27,"",54,"","1,715,087","27,860,509"
Katy Perry - Small Talk,28,"",27,"","1,986,107","27,856,402"
Tyga - Freaky Deaky,29,"",64,"","1,226,818","27,848,805"
Joji - Gimme Love,31,"",47,"","1,520,326","27,828,549"
Mc Paiva ZS - Casei Com a Putaria,29,"",125,"","1,077,093","27,799,764"
Paramore - Hard Times,44,"",59,"","1,233,600","27,799,526"
Post Malone - Wow. - Remix,38,"",110,"","949,948","27,796,050"
"DJ Patrick Muniz - Trava na Pose, Chama no Zoom, Dá um Close",32,"",75,"","1,180,185","27,795,300"
Eminem - Stepping Stone,22,"",19,"","2,817,524","27,793,547"
Coldplay - Let Somebody Go,21,"",21,"","2,873,978","27,786,158"
Charli XCX - Break the Rules,125,"",90,"","357,755","27,780,640"
Diplo - Heartless,41,"",143,"","775,392","27,776,329"
The Chainsmokers - You Owe Me,31,"",56,"","1,211,924","27,760,938"
Rosa Walton - I Really Want to Stay at Your House,26,"",87,"","1,248,487","27,742,228"
Drake - Jorja Interlude,25,"",14,"","2,903,939","27,732,663"
Luis R Conriquez - El Gavilán,25,"",124,"","1,328,856","27,732,363"
KSI - Holiday,31,"",57,"","1,337,805","27,722,627"
Childish Gambino - Me and Your Mama,38,"",61,"","998,589","27,688,837"
Kevin Kaarl - San Lucas,33,"",117,"","963,918","27,684,319"
The Weeknd - Hardest To Love,20,1,8,"","4,348,939","27,674,900"
Michael Bublé - Christmas (Baby Please Come Home),45,"",47,"","2,298,936","27,673,758"
Maria Becerra - Wow Wow,32,"",112,"","1,026,347","27,663,444"
