Pos,P+,Artist and Title,Wks,Pk,(x?),Streams,Streams+,Total
84,+1,David Guetta - I'm Good (Blue) (w/ Bebe Rexha),92,2,(x4),"11,898,838","-169,551","1,620,993,963"
85,NEW,NewJeans - How Sweet,1,85,"","11,826,037","","11,826,037"
86,-7,SZA - Nobody Gets Me,19,12,"","11,823,710","-693,164","235,322,507"
87,+24,The Walters - I Love You So,107,21,"","11,800,455","+739,350","1,023,080,544"
88,+45,Lithe - Fall Back,2,88,"","11,784,871","+1,291,137","22,278,605"
89,-8,Xavi - La Diabla,25,1,(x4),"11,780,994","-502,530","620,696,712"
90,+14,James Arthur - Say You Won't Let Go,322,7,"","11,646,927","+302,250","2,278,131,818"
91,+19,The Chainsmokers - Something Just Like This (w/ Coldplay),209,2,(x2),"11,614,161","+497,612","1,613,454,099"
92,-17,"Billie Eilish - What Was I Made For? [From The Motion Picture ""Barbie""]",46,3,(x1),"11,612,488","-1,392,624","838,569,090"
93,NEW,Cris Mj - SI NO ES CONTIGO,1,93,"","11,537,212","","11,537,212"
94,-3,Post Malone - Sunflower - Spider-Man: Into the Spider-Verse (w/ Swae Lee),286,1,(x2),"11,495,033","-347,555","3,221,699,156"
95,-9,Bad Bunny - PERRO NEGRO (w/ Feid),33,4,"","11,487,610","-550,196","666,779,986"
96,+3,KAROL G - QLONA (w/ Peso Pluma),42,5,"","11,443,700","-41,012","826,127,873"
97,+9,OneRepublic - I Ain't Worried,104,7,"","11,431,680","+182,848","1,557,126,236"
98,=,The Weeknd - Die For You,124,12,"","11,412,923","-152,603","1,632,334,294"
99,+38,Hotel Ugly - Shut up My Moms Calling,73,82,"","11,403,782","+1,035,240","657,824,619"
100,+8,Kygo - Whatever (w/ Ava Max),19,91,"","11,387,383","+194,636","202,569,784"
101,+12,Frank Ocean - Pink + White,57,69,"","11,368,762","+352,676","551,504,859"
102,-15,Billie Eilish - lovely (w/ Khalid),319,24,"","11,331,084","-614,955","2,742,873,251"
103,-7,"cassö - Prada (w/ RAYE, D-Block Europe)",41,17,"","11,323,244","-271,087","575,924,599"
104,+1,CYRIL - Stumblin' In,10,95,"","11,320,543","+39,298","104,729,244"
105,-23,21 Savage - redrum,20,8,"","11,295,839","-902,803","406,149,736"
106,-34,Taylor Swift - My Boy Only Breaks His Favorite Toys,6,7,"","11,253,129","-1,971,896","143,191,943"
107,+12,Vance Joy - Riptide,303,16,"","11,249,409","+338,645","1,696,265,231"
108,+6,"Macklemore & Ryan Lewis - Can't Hold Us (w/ Macklemore, Ryan Lewis, Ray Dalton)",101,86,"","11,223,314","+213,789","824,198,521"
109,-39,Taylor Swift - But Daddy I Love Him,6,9,"","11,190,338","-2,258,905","136,671,826"
110,-17,Sabrina Carpenter - Nonsense,71,17,"","11,184,848","-575,553","722,597,860"
111,+34,Journey - Don't Stop Believin' (2022 Remaster),4,111,"","11,171,781","+1,054,737","40,113,620"
112,-17,Young Miko - offline (w/ Feid),7,68,"","11,160,092","-567,699","82,685,061"
113,+10,The Police - Every Breath You Take,129,77,"","11,079,675","+343,122","939,325,154"
114,-22,Isabel LaRosa - favorite,8,68,"","11,077,081","-764,520","92,000,282"
115,+52,"Sevdaliza - Ride Or Die, Pt. 2 (w/ Villano Antillano, Tokischa)",6,72,"","10,975,909","+1,226,493","69,330,580"
116,+24,French Montana - Unforgettable (w/ Swae Lee),91,3,(x1),"10,952,477","+702,565","1,002,282,557"
117,-8,V - Love Me Again,42,11,"","10,859,817","-308,034","491,937,709"
118,-1,Coldplay - Yellow,180,36,"","10,850,973","-93,100","1,551,900,320"
119,-4,"Drake - One Dance (w/ Wizkid, Kyla)",233,1,(x14),"10,839,547","-130,215","2,380,467,355"
120,+16,Harry Styles - Watermelon Sugar,216,4,"","10,832,212","+450,078","2,503,591,972"
121,+10,"Ram Sampath - Sajni (From ""Laapataa Ladies"") (w/ Arijit Singh, Prashant Pandey)",2,121,"","10,777,956","+244,965","21,310,947"
122,+7,OneRepublic - Counting Stars,314,3,(x5),"10,770,339","+218,409","1,636,744,488"
123,-11,Bruno Mars - Locked out of Heaven,140,39,"","10,763,193","-276,132","934,894,054"
124,-8,Ruth B. - Dandelions,143,34,"","10,757,908","-187,916","1,368,114,648"
125,-73,Joost - Europapa,4,31,"","10,731,678","-4,722,577","54,559,026"
126,=,Creedence Clearwater Revival - Have You Ever Seen The Rain,41,85,"","10,718,675","+43,445","385,035,174"
