Pos,P+,Artist and Title,Days,Pk,(x?),Pts,Pts+,TPts,UK,DE,FR,IT,RU
58,+68,"Kara Marni - Wild, Young & Free",3,58,"",2730,+908,0.007,21,"",74,"",""
59,-8,Lady Gaga - Always Remember Us This Way,1553,2,(x6),2723,+40,8.199,"",135,140,113,77
60,-17,Fedez & Emis Killa - SEXY SHOP,5,39,"",2718,-309,0.016,"","","",2,""
61,-11,Kygo & Zak Abel - For Life,36,16,"",2714,+3,0.103,33,"",57,"",""
62,+77,The Kolors - Italodisco,392,3,(x1),2658,+921,1.951,"","","",46,""
63,+41,Ed Sheeran - Shape of You,2477,1,(x102),2556,+538,12.296,"","","","",""
64,-32,"Meduza, OneRepublic & Leony - Fire",26,18,"",2548,-1270,0.091,"",34,"",128,""
65,+51,Vincent Gross - Aperol Spritz,12,26,"",2522,+622,0.038,"",35,"","",""
66,-1,Jazzdauren - Дарите женщинам цветы,65,50,"",2500,0,0.168,"","","","",1
67,-8,Mr Belt & Wezol - It's Not Right,99,15,"",2494,-103,0.307,"",28,"",99,""
68,+97,Real Madrid - Hala Madrid ...y nada más,19,21,"",2478,+961,0.194,"","",73,"",""
69,-11,Гио ПиКа & MIRAVI - Мир,46,58,"",2451,-156,0.104,"","","","",2
70,-28,Lenny Kravitz - Human,14,36,"",2447,-686,0.053,174,75,"",67,""
71,-3,Lost Frequencies & Calum Scott - Where Are You Now,963,4,"",2442,-9,4.386,"","","","",3
72,-8,AC/DC - Thunderstruck,309,41,"",2434,-92,2.873,187,"",178,71,45
73,=,The Kolors - KARMA,33,29,"",2403,+46,0.080,"","","",3,""
74,-18,Sophie and the Giants - Shut Up And Dance,17,27,"",2403,-219,0.050,"",197,"",25,""
75,+1,Udo Lindenberg & Apache 207 - Komet,501,10,"",2389,+99,2.130,"",21,"","",""
76,+79,Daft Punk - Get Lucky,2054,1,(x61),2378,+778,11.528,"","","","",""
77,+12,GIMS & DYSTINCT - SPIDER,23,55,"",2374,+177,0.048,"","",8,"",""
78,+10,Coma_Cose - MALAVITA,39,58,"",2361,+159,0.075,"","","",7,""
79,+2,Tony Effe & GAIA - SESSO E SAMBA,13,78,"",2357,+91,0.026,"","","",4,""
80,-6,Татьяна Куртукова - Матушка,140,59,"",2357,0,0.310,"","","","",4
81,-12,Elodie - Black Nirvana,5,34,"",2311,-140,0.014,"","","",5,""
82,-12,Merab Amzoevi - Были бы крылья,42,69,"",2311,-140,0.092,"","","","",5
83,-46,Lady Gaga & Bradley Cooper - Shallow,2070,1,(x170),2293,-1042,15.902,"","","","",""
84,-17,Étienne Daho - Le Premier Jour,5,67,"",2282,-181,0.018,"",147,63,33,""
85,+50,Basta - На заре,188,60,"",2266,+507,0.406,"","","","",6
86,+66,Annalisa - Sinceramente,119,7,"",2260,+633,0.411,"","","",28,""
87,+11,Snow Patrol - The Beginning,6,28,"",2251,+151,0.016,12,130,"","",""
88,-47,Elton John & Dua Lipa - Cold Heart,1009,1,(x164),2203,-943,8.762,145,"","","",24
89,+51,Angelina Mango - melodrama,12,38,"",2203,+478,0.032,"","","",23,""
90,-27,"Don Omar, Lucenzo & Tiësto - Danza Kuduro",30,63,"",2199,-336,0.070,"","",17,"",""
91,NEW,Sia - Chandelier,1464,2,(x1),2179,+1295,9.982,"","",132,"",""
92,+18,Dima Bilan & Mari Kraymbreri - It’s My Life,26,78,"",2179,+202,0.052,"","","","",8
93,+114,P!nk - Just Give Me a Reason,1114,1,(x6),2179,+911,8.681,"","","","",""
94,+107,James Arthur - Impossible,1398,14,"",2158,+866,8.101,"","","","",""
95,+14,Ghali - Paprika,26,48,"",2137,+160,0.056,"","","",9,""
96,+57,Wallem - Харизма,77,49,"",2137,+510,0.159,"","","","",9
97,+41,ANNA - 30ºC,5,73,"",2126,+389,0.010,"","","",14,""
98,+24,Alex Warren - Carry You Home,5,40,"",2112,+254,0.013,36,"","","",""
99,-24,Lazza - 100 MESSAGGI,99,33,"",2096,-213,0.246,"","","",10,""
100,+58,Женя Трофимов & Комната культуры - Поезда,22,100,"",2096,+500,0.060,"","","","",10
101,+5,BABYMETAL & Electric Callboy - RATATATA,11,9,"",2093,+81,0.057,89,31,"","",""
102,+17,Pierre Garnier - Nous on sait,18,27,"",2091,+219,0.053,"","",34,"",""
103,+27,"Daft Punk, Pharrell Williams & Nile Rodgers - Get Lucky",85,50,"",2090,+310,0.445,"","",77,"",""
104,+46,Tom Odell - Another Love,806,10,"",2065,+423,3.635,"","",137,"",""
105,-39,Noah Kahan - Stick Season,211,18,"",2062,-422,0.685,22,"","","",""
