Artist,Total,Today,1M,2M,3M,4M,5M
Medina,"2,097,313",518,0,0,0,0,0
Edward Maya,"2,087,048",155,1,0,0,0,0
Tyga,"2,075,566",0,0,0,0,0,0
Six60,"2,066,889",0,0,0,0,0,0
Zoe Wees,"2,062,548",237,1,0,0,0,0
Hurts,"2,058,426",0,0,0,0,0,0
Chino & Nacho,"2,056,802",0,0,0,0,0,0
London Grammar,"2,055,471",0,0,0,0,0,0
Marlon Roudette,"2,050,411",0,1,0,0,0,0
Eric Church,"2,049,205",0,0,0,0,0,0
Kygo & Whitney Houston,"2,048,406",0,1,1,0,0,0
Jack Harlow,"2,043,079","1,315",1,0,0,0,0
Tom Grennan,"2,037,221",0,1,0,0,0,0
Cedric Gervais,"2,035,041",52,1,0,0,0,0
Fonseca,"2,019,771",0,1,0,0,0,0
SEVENTEEN,"2,004,763",569,0,0,0,0,0
Tiziano Ferro,"2,004,178",0,0,0,0,0,0
Evanescence,"2,001,945",104,1,0,0,0,0
Die Toten Hosen,"2,000,391",174,0,0,0,0,0
Aya Nakamura,"1,995,432",0,0,0,0,0,0
Carrie Underwood,"1,994,626",0,0,0,0,0,0
Sigma,"1,989,306",0,1,0,0,0,0
Adel Tawil,"1,987,884",0,0,0,0,0,0
Lee Brice,"1,977,631",396,0,0,0,0,0
Fetty Wap,"1,961,953",0,0,0,0,0,0
2 Chainz,"1,955,142",0,1,0,0,0,0
IU,"1,953,846",0,0,0,0,0,0
James Morrison,"1,950,704",0,1,0,0,0,0
Rae Sremmurd,"1,943,852",0,1,0,0,0,0
Liam Payne & Rita Ora,"1,943,349",0,1,0,0,0,0
Justin Wellington,"1,940,991",0,1,0,0,0,0
The Avener,"1,934,472",0,1,0,0,0,0
"Zedd, Maren Morris & Grey","1,929,132",0,1,0,0,0,0
Klangkarussell,"1,928,127",0,1,0,0,0,0
Survivor,"1,925,715",539,1,0,0,0,0
Nick Jonas,"1,923,955",0,0,0,0,0,0
Maná,"1,921,388",16,0,0,0,0,0
Lily Allen,"1,917,295",285,0,0,0,0,0
Annalisa,"1,901,767","1,070",0,0,0,0,0
Prince Royce,"1,899,623",282,1,0,0,0,0
Milow,"1,895,848",0,0,0,0,0,0
Juan Magan,"1,895,214",0,0,0,0,0,0
Tim Bendzko,"1,893,668",0,0,0,0,0,0
Zedd & Alessia Cara,"1,886,926",0,1,0,0,0,0
Nathan Evans,"1,884,752",697,1,0,0,0,0
Lady Gaga & Ariana Grande,"1,880,830",0,1,0,0,0,0
GReeeeN,"1,879,993",0,0,0,0,0,0
Liam Payne,"1,876,051",0,1,0,0,0,0
Andreas Bourani,"1,872,444",0,0,0,0,0,0
Elton John,"1,866,088",294,0,0,0,0,0
Pizzera & Jaus,"1,864,784",0,0,0,0,0,0
Gnash,"1,858,960",0,1,0,0,0,0
Zach Bryan,"1,856,723","5,405",0,0,0,0,0
Empire of the Sun,"1,856,523",0,0,0,0,0,0
G.E.M.,"1,854,897",57,0,0,0,0,0
Johannes Oerding,"1,852,245",521,0,0,0,0,0
Lena,"1,843,845","1,269",0,0,0,0,0
Amr Diab,"1,837,028",69,0,0,0,0,0
Nirvana,"1,836,878",107,1,0,0,0,0
Anirudh Ravichander,"1,822,415",213,0,0,0,0,0
星野源,"1,810,124",0,0,0,0,0,0
Reik,"1,808,720",0,0,0,0,0,0
Silento,"1,798,861",0,1,0,0,0,0
Loren Allred,"1,797,563",0,1,0,0,0,0
Anitta,"1,766,409",0,0,0,0,0,0
Powfu,"1,758,449",109,1,0,0,0,0
Loud Luxury,"1,756,503",0,1,0,0,0,0
Echosmith,"1,749,217",0,1,0,0,0,0
Tracy Chapman,"1,747,291",627,1,0,0,0,0
Marshmello & Jonas Brothers,"1,742,962",0,1,0,0,0,0
Max Giesinger,"1,742,101",0,0,0,0,0,0
Nico Santos,"1,740,836",0,0,0,0,0,0
Tulus,"1,740,291",0,0,0,0,0,0
西野 カナ,"1,732,703",0,0,0,0,0,0
